country,both60,male60,female60,both_atbirth,male_atbirth,female_atbirth
Afghanistan,63.21,63.29,63.16,15.21,15.39,15.06
Albania,78.0,76.25,79.91,21.03,20.22,21.94
Algeria,77.13,76.23,78.12,22.04,21.53,22.62
Angola,63.06,60.7,65.52,16.98,15.38,18.55
Argentina,76.58,73.51,79.5,21.11,18.84,23.08
Armenia,76.03,72.49,79.16,20.41,18.24,22.15
Australia,83.04,81.25,84.84,25.62,24.37,26.83
Austria,81.65,79.44,83.78,24.09,22.43,25.6
Azerbaijan,71.43,68.78,74.09,17.06,15.65,18.32
Bahamas,73.21,69.85,76.59,20.84,19.12,22.39
Bahrain,75.81,75.04,77.02,19.01,18.72,19.36
Bangladesh,74.25,72.99,75.64,20.86,20.26,21.53
Barbados,76.03,74.32,77.66,20.92,19.94,21.79
Belarus,74.81,69.65,79.62,19.72,16.04,22.48
Belgium,81.42,79.29,83.51,24.02,22.33,25.58
Belize,74.41,71.36,77.77,21.53,20.32,22.93
Benin,63.43,61.19,65.66,17.4,16.13,18.52
Bhutan,73.11,72.03,74.39,19.36,18.89,19.95
Bolivia,72.14,71.15,73.13,18.56,18.04,19.06
Botswana,62.25,58.95,65.46,16.25,14.16,17.97
Brazil,75.9,72.45,79.39,21.9,20.09,23.51
Bulgaria,75.07,71.65,78.6,19.82,17.41,21.97
Burkina Faso,62.7,60.06,65.23,16.82,15.23,18.06
Burundi,63.84,61.55,66.14,16.47,15.22,17.63
Cabo Verde,74.03,69.9,77.94,19.66,16.82,21.77
Cambodia,70.12,67.23,72.75,17.74,15.93,19.11
Cameroon,62.36,60.29,64.5,17.09,15.77,18.35
Canada,82.24,80.4,84.05,25.15,23.84,26.38
Central African Republic,53.1,50.21,56.26,13.17,11.31,14.85
Chad,59.63,57.95,61.34,16.54,15.68,17.34
Chile,80.74,78.09,83.25,24.27,22.41,25.88
China,77.43,74.73,80.49,21.06,19.19,23.08
Colombia,79.31,76.69,81.87,23.96,22.48,25.27
Comoros,67.39,65.92,68.88,18.13,17.44,18.75
Congo,64.74,63.81,65.61,16.45,15.71,17.07
Costa Rica,80.85,78.31,83.44,25.03,23.58,26.4
Cote d'Ivoire,62.92,60.53,65.81,17.08,15.84,18.69
Croatia,78.64,75.54,81.6,21.76,19.44,23.75
Cuba,77.76,75.37,80.25,21.59,19.98,23.18
Cyprus,83.14,81.12,85.12,24.92,23.31,26.43
Denmark,81.32,79.59,83.02,23.59,22.26,24.85
Djibouti,65.81,64.1,67.78,17.76,16.63,18.96
Dominican Republic,72.84,69.76,76.19,20.65,18.99,22.36
Ecuador,78.45,76.41,80.5,23.2,22.04,24.31
Egypt,71.82,69.59,74.14,17.83,16.49,19.11
El Salvador,75.03,70.58,79.13,22.12,20.42,23.57
Equatorial Guinea,62.19,60.87,63.58,17.64,16.54,18.81
Eritrea,64.08,61.3,67.07,15.5,14.13,16.82
Estonia,78.88,74.7,82.6,22.53,19.26,24.99
Eswatini,57.73,53.36,63.18,15.1,12.41,17.71
Ethiopia,68.7,66.9,70.52,18.45,17.44,19.4
Fiji,68.01,65.93,70.28,16.18,14.88,17.49
Finland,81.61,79.16,84.04,24.16,22.36,25.81
France,82.48,79.76,85.09,25.34,23.27,27.21
Gabon,66.47,63.59,69.73,17.17,15.15,19.25
Gambia,65.47,63.42,67.65,16.85,15.77,18.04
Georgia,73.28,68.79,77.76,18.76,16.05,21.02
Germany,81.72,78.72,84.77,24.41,21.87,26.87
Ghana,66.28,63.66,69.16,17.25,15.66,18.89
