country,January 22 2020,January 23 2020,January 24 2020,January 25 2020,January 26 2020,January 27 2020,January 28 2020,January 29 2020,January 30 2020,January 31 2020,February 1 2020,February 2 2020,February 3 2020,February 4 2020,February 5 2020,February 6 2020,February 7 2020,February 8 2020,February 9 2020,February 10 2020,February 11 2020,February 12 2020,February 13 2020,February 14 2020,February 15 2020,February 16 2020,February 17 2020,February 18 2020,February 19 2020,February 20 2020,February 21 2020,February 22 2020,February 23 2020,February 24 2020,February 25 2020,February 26 2020,February 27 2020,February 28 2020,February 29 2020,March 1 2020,March 2 2020,March 3 2020,March 4 2020,March 5 2020,March 6 2020,March 7 2020,March 8 2020,March 9 2020,March 10 2020,March 11 2020,March 12 2020,March 13 2020,March 14 2020,March 15 2020,March 16 2020,March 17 2020,March 18 2020,March 19 2020,March 20 2020,March 21 2020,March 22 2020,March 23 2020,March 24 2020,March 25 2020,March 26 2020,March 27 2020,March 28 2020,March 29 2020,March 30 2020,March 31 2020,April 1 2020,April 2 2020,April 3 2020,April 4 2020,April 5 2020,April 6 2020,April 7 2020,April 8 2020,April 9 2020,April 10 2020,April 11 2020,April 12 2020,April 13 2020,April 14 2020,April 15 2020,April 16 2020,April 17 2020,April 18 2020,April 19 2020,April 20 2020,April 21 2020,April 22 2020,April 23 2020,April 24 2020,April 25 2020,April 26 2020,April 27 2020,April 28 2020,April 29 2020,April 30 2020,May 1 2020,May 2 2020,May 3 2020,May 4 2020,May 5 2020,May 6 2020,May 7 2020,May 8 2020,May 9 2020,May 10 2020,May 11 2020,May 12 2020,May 13 2020,May 14 2020,May 15 2020,May 16 2020,May 17 2020,May 18 2020,May 19 2020,May 20 2020,May 21 2020,May 22 2020,May 23 2020,May 24 2020,May 25 2020,May 26 2020,May 27 2020,May 28 2020,May 29 2020,May 30 2020,May 31 2020,June 1 2020,June 2 2020,June 3 2020,June 4 2020,June 5 2020,June 6 2020,June 7 2020,June 8 2020,June 9 2020,June 10 2020,June 11 2020,June 12 2020,June 13 2020,June 14 2020,June 15 2020,June 16 2020,June 17 2020,June 18 2020,June 19 2020,June 20 2020,June 21 2020,June 22 2020,June 23 2020,June 24 2020,June 25 2020,June 26 2020,June 27 2020,June 28 2020,June 29 2020,June 30 2020,July 1 2020,July 2 2020,July 3 2020,July 4 2020,July 5 2020,July 6 2020,July 7 2020,July 8 2020,July 9 2020,July 10 2020,July 11 2020,July 12 2020,July 13 2020,July 14 2020,July 15 2020,July 16 2020,July 17 2020,July 18 2020,July 19 2020,July 20 2020,July 21 2020,July 22 2020,July 23 2020,July 24 2020,July 25 2020,July 26 2020,July 27 2020,July 28 2020,July 29 2020,July 30 2020,July 31 2020,August 1 2020,August 2 2020,August 3 2020,August 4 2020,August 5 2020,August 6 2020,August 7 2020,August 8 2020,August 9 2020,August 10 2020,August 11 2020,August 12 2020,August 13 2020,August 14 2020,August 15 2020,August 16 2020,August 17 2020,August 18 2020,August 19 2020,August 20 2020,August 21 2020,August 22 2020,August 23 2020,August 24 2020,August 25 2020,August 26 2020,August 27 2020,August 28 2020,August 29 2020,August 30 2020,August 31 2020,September 1 2020,September 2 2020,September 3 2020,September 4 2020,September 5 2020,September 6 2020,September 7 2020,September 8 2020,September 9 2020,September 10 2020,September 11 2020,September 12 2020,September 13 2020,September 14 2020,September 15 2020,September 16 2020,September 17 2020,September 18 2020,September 19 2020,September 20 2020,September 21 2020,September 22 2020,September 23 2020,September 24 2020,September 25 2020,September 26 2020,September 27 2020,September 28 2020,September 29 2020,September 30 2020,October 1 2020,October 2 2020,October 3 2020,October 4 2020,October 5 2020,October 6 2020,October 7 2020,October 8 2020,October 9 2020,October 10 2020,October 11 2020,October 12 2020,October 13 2020,October 14 2020,October 15 2020,October 16 2020,October 17 2020,October 18 2020,October 19 2020,October 20 2020,October 21 2020,October 22 2020,October 23 2020,October 24 2020,October 25 2020,October 26 2020,October 27 2020,October 28 2020,October 29 2020,October 30 2020,October 31 2020,November 1 2020,November 2 2020,November 3 2020,November 4 2020,November 5 2020,November 6 2020,November 7 2020,November 8 2020,November 9 2020,November 10 2020,November 11 2020,November 12 2020,November 13 2020,November 14 2020,November 15 2020,November 16 2020,November 17 2020,November 18 2020,November 19 2020,November 20 2020,November 21 2020,November 22 2020,November 23 2020,November 24 2020,November 25 2020,November 26 2020,November 27 2020,November 28 2020,November 29 2020,November 30 2020,December 1 2020,December 2 2020,December 3 2020,December 4 2020,December 5 2020,December 6 2020,December 7 2020,December 8 2020,December 9 2020,December 10 2020,December 11 2020,December 12 2020,December 13 2020,December 14 2020,December 15 2020,December 16 2020,December 17 2020,December 18 2020,December 19 2020,December 20 2020,December 21 2020,December 22 2020,December 23 2020,December 24 2020,December 25 2020,December 26 2020,December 27 2020,December 28 2020,December 29 2020,December 30 2020,December 31 2020,January 1 2021,January 2 2021,January 3 2021,January 4 2021,January 5 2021,January 6 2021,January 7 2021,January 8 2021,January 9 2021,January 10 2021,January 11 2021,January 12 2021,January 13 2021,January 14 2021,January 15 2021,January 16 2021,January 17 2021,January 18 2021,January 19 2021,January 20 2021,January 21 2021,January 22 2021,January 23 2021,January 24 2021,January 25 2021,January 26 2021,January 27 2021,January 28 2021,January 29 2021,January 30 2021,January 31 2021,February 1 2021,February 2 2021,February 3 2021,February 4 2021,February 5 2021,February 6 2021,February 7 2021,February 8 2021,February 9 2021,February 10 2021,February 11 2021,February 12 2021,February 13 2021,February 14 2021,February 15 2021,February 16 2021,February 17 2021,February 18 2021,February 19 2021,February 20 2021,February 21 2021,February 22 2021,February 23 2021,February 24 2021,February 25 2021,February 26 2021,February 27 2021,February 28 2021,March 1 2021,March 2 2021,March 3 2021,March 4 2021,March 5 2021,March 6 2021,March 7 2021,March 8 2021,March 9 2021,March 10 2021,March 11 2021,March 12 2021,March 13 2021,March 14 2021,March 15 2021,March 16 2021,March 17 2021,March 18 2021,March 19 2021,March 20 2021,March 21 2021,March 22 2021,March 23 2021,March 24 2021,March 25 2021,March 26 2021,March 27 2021,March 28 2021,March 29 2021,March 30 2021,March 31 2021,April 1 2021,April 2 2021,April 3 2021,April 4 2021,April 5 2021,April 6 2021,April 7 2021,April 8 2021,April 9 2021,April 10 2021,April 11 2021,April 12 2021
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,10,10,10,15,18,18,29,32,32,32,32,32,40,43,54,99,112,131,135,150,166,179,188,188,207,220,228,252,260,310,331,345,397,421,458,468,472,502,558,558,610,648,691,745,745,778,801,850,930,938,996,1040,1075,1097,1128,1138,1209,1259,1303,1328,1428,1450,1522,1585,1762,1830,1875,2171,2651,3013,3326,3928,4201,4725,5164,5508,6158,7660,7962,8292,8764,8841,9260,9869,10174,10306,10674,12604,13934,14131,15651,16041,17331,19164,19366,20103,20179,20700,20847,20882,21135,21216,21254,21454,22456,22824,23151,23273,23634,23741,23741,23924,24550,24602,24793,25180,25198,25358,25389,25471,25509,25509,25510,25669,25669,25742,25840,25903,25960,25960,26228,26415,26694,26714,26714,27166,27166,27166,27166,27166,27681,28016,28016,28180,28360,28440,29042,29046,29059,29063,29089,29089,29231,29315,29390,29713,30082,30537,30557,30715,31048,31129,31154,31234,31638,32073,32098,32503,32505,32576,32576,32576,32576,32576,32610,32619,32619,32635,32642,32642,32746,32789,32842,32842,32842,32852,32879,32977,33045,33058,33058,33064,33114,33118,33308,33354,33447,33516,33561,33614,33760,33790,33824,33831,34010,34023,34129,34150,34217,34237,34239,34258,34321,34326,34342,34355,34362,34440,34440,34446,34458,34721,34954,34967,35024,35036,35067,35092,35137,35160,35295,35350,35370,35422,35934,35976,36122,36145,36232,36295,36709,36716,36831,36946,37218,37260,37260,37393,37685,37879,37920,38032,38099,38141,38200,38250,38252,38336,38475,38505,38540,38613,39006,39508,39585,39692,40359,40444,40784,41096,41441,41543,41612,41727,41727,41727,41727,42530,42666,42666,43291,43440,43740,43948,44137,44608,44850,45298,45434,45465,45868,46359,46554,46759,46887,46912,46943,47298,47365,47459,47549,47583,47606,47609,47679,47723,47798,47982,47995,48018,48027,48041,48042,48109,48133,48279,48390,48392,48395,48433,48514,48626,48798,48803,48820,48834,48895,48967,49086,49281,49285,49288,49333,49344,49347,49359,49362,49362,49369,49378,49402,49409,49499,49499,49499,49471,49477,49481,49499,49536,49664,49681,49681,49737,49743,49752,49802,49937,49994,49994,50013,50666,51473,51550,51788,51798,51802,51885,51902,51928,51940,51956,51961,51962,51989,52005
Australia Australian Capital Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,8,11,18,18,28,40,40,40,47,59,59,59,59,72,72,82,81,88,88,91,92,93,93,97,98,99,100,101,101,103,103,103,103,103,103,103,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,107,107,107,109,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,112,112,112,112,112,112,112,112,113,113,113,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,116,116,116,117,117,117,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Australia New South Wales,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1379,1379,1379,1379,1755,1926,2006,2056,2193,2208,2227,2266,2284,2293,2293,2306,2328,2349,2418,2463,2486,2504,2504,2517,2543,2571,2595,2605,2611,2611,2612,2614,2631,2648,2648,2653,2653,2656,2661,2663,2670,2666,2683,2685,2685,2687,2691,2700,2714,2719,2723,2724,2729,2735,2738,2743,2763,2766,2766,2768,2770,2770,2770,2771,2771,2771,2771,2771,2776,2782,2784,2784,2784,2784,2787,2787,2789,2977,2988,2988,2987,2986,2986,2987,2997,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2988,2989,2989,2989,2989,2989,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia Northern Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,6,6,6,9,9,9,12,15,16,16,20,23,23,23,25,25,25,24,24,24,24,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,38,38,38,38,38,39,39,39,39,40,41,41,46,46,46,46,46,46,46,46,46,46,46,46,46,52,52,52,52,52,58,58,59,59,59,59,59,62,62,62,62,62,62,62,68,67,70,71,71,71,70,70,70,71,71,71,71,71,71,74,74,74,74,79,84,86,87,87,89,90,90,90,90,90,93,94,93,93,93,96,97,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,101,101,101,101,101,102,102,103,103,103,103,103,103,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,106,106,106,106,106,106,106,106,106,106,106,106,106,107,107,107,107,107
Australia Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,173,173,173,345,372,372,372,372,442,442,442,442,738,738,738,738,738,738,738,803,926,926,934,943,948,965,976,980,980,985,989,994,1019,1019,1021,1027,1028,1030,1031,1036,1037,1038,1039,1040,1040,1040,1041,1041,1038,1039,1044,1045,1045,1045,1046,1046,1048,1047,1046,1049,1049,1050,1050,1051,1051,1051,1051,1051,1051,1051,1051,1052,1052,1053,1053,1053,1053,1053,1053,1054,1054,1054,1054,1054,1054,1054,1054,1054,1055,1055,1055,1055,1056,1057,1057,1058,1058,1058,1058,1058,1058,1058,1059,1060,1061,1061,1062,1063,1063,1063,1063,1063,1063,1063,1065,1066,1066,1066,1067,1067,1069,1069,1069,1071,1071,1072,1075,1076,1076,1076,1079,1079,1079,1079,1079,1081,1082,1082,1082,1082,1082,1083,1083,1084,1084,1084,1084,1084,1084,1086,1088,1089,1089,1089,1090,1091,1091,1094,1096,1107,1110,1111,1111,1111,1112,1118,1123,1124,1124,1124,1125,1141,1141,1141,1141,1141,1142,1143,1147,1147,1148,1148,1148,1148,1149,1152,1152,1152,1152,1154,1154,1154,1154,1154,1154,1154,1154,1154,1155,1155,1157,1155,1157,1157,1157,1157,1159,1160,1160,1163,1163,1165,1163,1163,1163,1163,1163,1163,1163,1163,1167,1171,1171,1171,1171,1171,1171,1171,1171,1171,1172,1176,1177,1177,1178,1180,1181,1181,1184,1186,1187,1190,1191,1191,1191,1191,1191,1196,1197,1199,1202,1203,1204,1204,1209,1213,1214,1214,1214,1215,1215,1216,1216,1217,1217,1217,1218,1218,1218,1218,1224,1232,1232,1233,1233,1234,1239,1240,1241,1243,1243,1245,1245,1247,1248,1253,1254,1255,1258,1261,1261,1266,1272,1278,1278,1282,1286,1286,1287,1295,1295,1295,1295,1295,1293,1294,1295,1297,1297,1299,1299,1299,1300,1301,1305,1305,1306,1306,1307,1309,1309,1309,1309,1309,1309,1310,1310,1311,1313,1313,1314,1314,1316,1316,1316,1316,1318,1321,1321,1324,1325,1328,1328,1328,1330,1330,1330,1331,1331,1331,1335,1337,1338,1339,1339,1339,1343,1343,1343,1343,1344,1353,1353,1353,1366,1366,1366,1376,1381,1381,1381,1381
Australia South Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,46,46,46,53,53,53,120,179,179,179,179,240,240,279,331,331,331,369,376,388,394,401,402,411,414,420,420,420,422,427,427,427,429,432,433,433,433,434,434,434,434,434,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,437,439,439,439,439,439,439,439,440,440,440,440,440,440,441,441,441,441,441,441,441,441,441,443,443,443,443,443,444,445,445,446,447,447,447,449,449,449,449,450,450,451,452,452,452,452,456,456,456,456,456,458,458,458,458,458,459,459,459,459,459,460,461,461,461,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,464,464,464,465,465,465,465,465,465,466,466,466,467,468,469,471,471,472,472,472,472,473,473,473,473,475,478,479,479,482,483,483,485,486,487,489,489,490,492,492,495,495,495,495,495,495,495,506,511,512,512,513,514,514,514,516,520,533,539,540,541,547,548,549,551,551,553,556,558,558,558,558,558,558,558,559,559,559,559,559,559,559,559,559,560,560,562,562,563,563,563,565,565,566,566,566,566,567,568,569,568,568,569,569,574,575,577,577,578,578,578,584,587,587,590,591,591,592,592,592,592,592,592,592,592,592,595,596,596,596,596,596,597,597,597,599,599,599,599,601,601,601,602,602,603,604,605,606,606,606,606,606,610,610,610,610,610,611,611,611,613,617,618,620,620,620,620,620,621,622,622,622,624,624,625,628,630,630,631,631,633,633,640,641,641,642,644,649,649,651,651,654,657,657,657
Australia Tasmania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,26,26,26,48,48,48,48,48,53,53,67,67,67,67,71,74,77,91,106,117,123,132,137,144,153,157,158,164,165,165,167,174,175,182,182,182,184,184,188,191,192,194,195,195,196,198,199,199,200,202,203,203,203,205,206,207,207,208,208,208,208,209,209,209,209,209,212,213,213,213,213,213,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,218,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
Australia Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,70,70,97,97,149,171,191,191,191,291,343,422,476,527,573,620,620,620,736,926,926,926,926,1118,1118,1137,1159,1172,1172,1196,1202,1243,1251,1254,1262,1265,1280,1287,1291,1293,1300,1300,1300,1311,1321,1322,1327,1327,1336,1346,1360,1385,1385,1407,1417,1417,1439,1454,1454,1473,1479,1479,1498,1520,1533,1533,1544,1544,1553,1557,1560,1563,1569,1569,1586,1586,1593,1595,1602,1616,1621,1632,1632,1657,1661,1664,1664,1678,1678,1680,1694,1701,1712,1721,1721,1742,1742,1775,1789,1816,1816,1866,1904,1904,1971,1992,2028,2058,2142,2142,2286,2289,2329,2395,2488,2591,2669,2709,2819,2933,2933,3078,3298,3298,3450,3529,3680,3817,4123,4123,4259,4479,4696,5111,5111,5283,5424,5628,6066,6378,6378,6642,6889,7271,7493,8121,8121,8570,9023,9413,9729,12334,12940,13239,13708,14077,14572,14572,14837,15101,15324,15580,15814,16152,16152,16370,16625,16784,16921,17056,17175,17311,17484,17771,17771,17893,18006,18079,18217,18278,18278,18379,18473,18567,18628,18738,18794,18794,18842,18901,18942,19006,19034,19034,19091,19102,19126,19126,19149,19162,19192,19207,19207,19218,19243,19248,19248,19259,19287,19287,19295,19299,19313,19329,19340,19346,19354,19359,19370,19370,19382,19381,19457,19466,19477,19488,19496,19506,19511,19518,19522,19522,19522,19522,19522,19522,19522,19522,19523,19523,19523,19523,19524,19525,19525,19525,19526,19526,19526,19526,19526,19526,19526,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19525,19524,19524,19524,19524,19526,19527,19527,19527,19527,19528,19529,19537,19537,19538,19538,19539,19539,19539,19541,19541,19544,19544,19544,19545,19551,19553,19559,19565,19566,19571,19574,19575,19578,19579,19579,19583,19584,19586,19591,19592,19593,19597,19598,19605,19608,19608,19608,19608,19611,19612,19614,19615,19615,19621,19622,19623,19626,19626,19628,19630,19630,19630,19631,19632,19634,19634,19634,19634,19639,19643,19644,19646,19646,19650,19651,19653,19654,19656,19656,19657,19658,19658,19658,19661,19661,19661,19662,19662,19662,19662,19662,19662,19662,19663,19663,19664,19664,19664,19664,19664,19664,19664,19664,19664,19664,19663,19663,19663,19663,19663,19663,19664,19664,19664,19664,19664,19664
Australia Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,28,28,41,41,48,64,92,92,92,162,162,162,170,203,216,216,216,251,251,338,340,340,340,435,443,451,458,464,478,486,486,495,507,507,511,520,523,528,528,528,534,534,536,536,536,537,538,538,538,541,543,545,545,545,545,545,549,549,549,549,549,550,551,552,552,553,553,557,557,557,559,559,560,560,571,575,575,582,591,591,592,592,592,592,593,593,594,594,595,595,595,595,595,598,598,598,598,598,600,600,600,602,602,602,604,604,606,606,606,610,610,617,618,622,625,625,626,631,642,644,647,647,647,647,650,650,652,654,654,654,654,627,628,629,629,630,632,632,632,632,633,633,633,633,633,633,633,634,634,635,636,637,637,637,641,641,641,641,641,643,644,644,644,644,644,646,646,646,646,646,646,646,648,648,649,650,650,650,650,650,650,650,651,651,653,653,654,654,657,660,660,662,664,670,670,670,670,670,671,676,676,676,683,683,685,685,685,690,690,692,692,700,700,706,706,708,712,718,718,738,748,748,750,755,757,757,757,757,757,757,757,757,757,767,767,767,767,772,772,774,774,774,776,778,784,785,788,789,789,795,802,805,808,808,810,810,811,811,815,816,816,821,821,821,821,821,825,826,827,828,830,832,832,832,833,833,838,838,838,838,838,839,842,845,847,847,847,851,851,855,855,855,857,862,864,865,865,865,866,869,869,873,873,873,873,875,875,878,878,881,881,886,887,887,887,887,888,889,892,893,894,895,896,896,897,898,898,897,897,899,899,901,901,901,901,901,901,901,901,901,902,902,903,903,903,903,903,905,905,905,906,906,907,907,908,908,908,908,911,912,913,915,915,915,915,919,918,918,918,919,921,922,925,923,924,928,932,933,933,935,937
Australia,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,23,23,23,23,23,23,26,26,26,88,88,115,119,172,194,244,244,257,358,422,520,649,701,757,1080,1080,1080,1472,1793,1806,1806,1806,2186,2186,2355,3808,4124,4124,4291,4695,4932,5047,5136,5376,5541,5588,5665,5715,5742,5775,5814,5849,5887,5975,6031,6078,6122,6141,6167,6213,6270,6297,6334,6359,6364,6392,6413,6431,6470,6478,6485,6508,6531,6552,6560,6579,6576,6605,6614,6618,6626,6636,6648,6683,6688,6703,6706,6720,6740,6759,6782,6803,6838,6851,6856,6861,6877,6878,6881,6896,6903,6915,6924,6931,6958,6960,6993,7007,7037,7040,7090,7130,7319,7399,7420,7455,7487,7573,7576,7733,7727,7769,7835,7928,8035,8114,8162,8274,8395,8398,8545,8770,8775,8938,9019,9174,9311,9617,9619,9759,9983,7213,7631,7631,7805,7947,8125,8566,8880,8882,9150,9401,9785,10007,10638,10641,11091,11544,11935,12254,14860,15466,15766,16239,16609,17106,17107,17373,17639,17866,18122,18356,18695,18698,18920,19178,19336,19473,19610,19731,19869,20045,20335,20346,20471,20585,20658,20798,20860,20867,20974,21069,21163,21224,21335,21407,21407,21456,21515,21558,21623,21655,21659,21719,21735,21759,21761,21786,21806,21839,21855,21855,21866,21895,21906,21907,21920,21955,21956,21966,21970,21984,22007,22018,22028,22034,22051,22065,22072,22084,22091,22173,22188,22204,22236,22257,22267,22274,22287,22295,22295,22298,22298,22299,22303,22307,22311,22312,22333,22338,22339,22341,22348,22349,22352,22358,22362,22369,22390,22404,22407,22411,22420,22423,22431,22443,22448,22453,22456,22460,22461,22473,22474,22480,22484,22485,22498,22498,22504,22507,22508,22512,22517,22524,22526,22530,22532,22535,22536,22539,22554,22558,22564,22565,22573,22581,22581,22588,22592,22600,22606,22606,22612,22621,22627,22643,22650,22657,22668,22684,22692,22698,22709,22716,22725,22735,22748,22759,22761,22766,22779,22781,22791,22802,22805,22808,22814,22822,22822,22825,22827,22830,22837,22844,22846,22850,22854,22858,22864,22866,22870,22871,22874,22879,22881,22882,22885,22892,22897,22900,22902,22903,22909,22914,22917,22920,22924,22926,22928,22929,22931,22936,22945,22949,22952,22957,22957,22958,22960,22962,22963,22965,22966,22971,22977,22982,22988,22991,22994,22996,23004,23005,23005,23012,23014,23025,23027,23032,23048,23049,23056,23071,23080,23083,23085,23087
