Afghanistan,34.5328,69.1658
Albania,41.33,19.82
Algeria,36.7764,3.0586
American Samoa,-14.274,-170.7046
Andorra,42.5,1.5
Angola,-8.8383,13.2344
Antigua And Barbuda,17.1211,-61.8447
Argentina,-34.5997,-58.3819
Armenia,40.1814,44.5144
Aruba,12.5186,-70.0358
Australia,-33.865,151.2094
Australia Australian Capital Territory,-35.4735,149.0124
Australia New South Wales,-33.8688,151.2093
Australia Northern Territory,-12.4634,130.8456
Australia Queensland,-27.4698,153.0251
Australia South Australia,-34.9285,138.6007
Australia Tasmania,-42.8821,147.3272
Australia Victoria,-37.8136,144.9631
Australia Western Australia,-31.9505,115.8605
Austria,48.2083,16.3731
Azerbaijan,40.3667,49.8352
Bahamas,25.0667,-78.7
Bahrain,26.2167,50.5831
Bangladesh,23.7161,90.3961
Barbados,13.0975,-59.6167
Belarus,53.9022,27.5618
Belgium,50.8467,4.3517
Belize,17.25,-88.7675
Benin,6.4,2.52
Bermuda,32.2942,-64.7839
Bhutan,27.4833,89.6333
Bolivia,-17.7892,-63.1975
Bosnia And Herzegovina,43.8667,18.4167
Botswana,-24.6569,25.9086
Brazil,-23.5504,-46.6339
Brunei,4.9167,114.9167
Bulgaria,42.6975,23.3241
Burkina Faso,12.3572,-1.5353
Burma,16.8,96.15
Burundi,-3.3825,29.3611
Cabo Verde,14.9177,-23.5092
Cambodia,11.5696,104.921
Cameroon,3.8578,11.5181
Canada,43.7417,-79.3733
Canada Alberta,53.9333,-116.5765
Canada British Columbia,53.7267,-127.6476
Canada Diamond Princess,0,0
Canada Grand Princess,0,0
Canada Manitoba,53.7609,-98.8139
Canada New Brunswick,46.5653,-66.4619
Canada Newfoundland and Labrador,53.1355,-57.6604
Canada Northwest Territories,64.8255,-124.8457
Canada Nova Scotia,44.682,-63.7443
Canada Nunavut,70.2998,-83.1076
Canada Ontario,51.2538,-85.3232
Canada Prince Edward Island,46.5107,-63.4168
Canada Quebec,52.9399,-73.5491
Canada Repatriated Travellers,43.7417,-79.3733
Canada Saskatchewan,52.9399,-106.4509
Canada Yukon,64.2823,-135
Cayman Islands,19.2866,-81.3744
Central African Republic,4.3732,18.5628
Chad,12.11,15.05
Chile,-33.45,-70.6667
China,31.1667,121.4667
China Anhui,31.8257,117.2264
China Beijing,40.1824,116.4142
China Chongqing,30.0572,107.874
China Fujian,26.0789,117.9874
China Gansu,35.7518,104.2861
China Guangdong,23.3417,113.4244
China Guangxi,23.8298,108.7881
China Guizhou,26.8154,106.8748
China Hainan,19.1959,109.7453
China Hebei,39.549,116.1306
China Heilongjiang,47.862,127.7615
China Henan,37.8957,114.9042
China Hong Kong,22.3,114.2
China Hubei,30.9756,112.2707
China Hunan,27.6104,111.7088
China Inner Mongolia,44.0935,113.9448
China Jiangsu,32.9711,119.455
China Jiangxi,27.614,115.7221
China Jilin,43.6661,126.1923
China Liaoning,41.2956,122.6085
China Macau,22.1667,113.55
China Ningxia,37.2692,106.1655
China Qinghai,35.7452,95.9956
China Shaanxi,35.1917,108.8701
China Shandong,36.3427,118.1498
China Shanghai,31.202,121.4491
China Shanxi,37.5777,112.2922
China Sichuan,30.6171,102.7103
China Tianjin,39.3054,117.323
China Tibet,31.6927,88.0924
China Xinjiang,41.1129,85.2401
China Yunnan,24.974,101.487
China Zhejiang,29.1832,120.0934
Colombia,4.6126,-74.0705
Comoros,-11.7036,43.2536
Congo,-4.3317,15.3139
Congo (Brazzaville),-0.228,15.8277
Congo (Kinshasa),-4.0383,21.7587
Cook Islands,-21.207,-159.771
Costa Rica,9.9333,-84.0833
Cote d'Ivoire,5.3364,-4.0267
Croatia,45.8,15.95
Cuba,23.1367,-82.3589
Curaçao,12.1167,-68.9333
Cyprus,35.1725,33.365
Czechia,50.0833,14.4167
Denmark,55.6786,12.5635
Denmark Faroe Islands,61.8926,-6.9118
Denmark Greenland,71.7069,-42.6043
Denmark MAINLAND,56.2639,9.5018
Diamond Princess,0,0
Djibouti,11.595,43.1481
Dominica,15.3,-61.3833
Dominican Republic,18.4764,-69.8933
Ecuador,-2.1833,-79.8833
Egypt,30.0561,31.2394
El Salvador,13.6989,-89.1914
Equatorial Guinea,3.7521,8.7737
Eritrea,15.3333,38.9167
Estonia,59.4372,24.745
Eswatini,-26.3167,31.1333
Ethiopia,9.0272,38.7369
Falkland Islands (Islas Malvinas),-51.7,-57.85
Faroe Islands,62.2375,-6.539
Federated States Of Micronesia,6.9178,158.185
Fiji,-18.1333,178.4333
Finland,60.1756,24.9342
France,48.8566,2.3522
France French Guiana,3.9339,-53.1258
France French Polynesia,-17.6797,149.4068
France Guadeloupe,16.265,-61.551
France MAINLAND,46.2276,2.2137
France Martinique,14.6415,-61.0242
France Mayotte,-12.8275,45.166244
France New Caledonia,-20.904305,165.618042
France Reunion,-21.1151,55.5364
France Saint Barthelemy,17.9,-62.8333
France Saint Pierre and Miquelon,46.8852,-56.3159
France St Martin,18.0708,-63.0501
France Wallis and Futuna,-14.2938,-178.1165
French Guiana,4.933,-52.33
French Polynesia,-17.5334,-149.5667
Gabon,0.3901,9.4544
Gambia,13.4531,-14.65
Georgia,41.7225,44.7925
Germany,52.5167,13.3833
Ghana,5.6037,-0.187
Gibraltar,36.1324,-5.3781
Greece,37.9794,23.7161
Greenland,66.9389,-53.6722
Grenada,12.0444,-61.7417
Guadeloupe,16.2415,-61.533
Guam,13.4745,144.7504
Guatemala,14.6099,-90.5252
Guinea,9.5092,-13.7122
Guinea-Bissau,11.8592,-15.5956
Guyana,6.7833,-58.1667
Haiti,18.5425,-72.3386
Holy See,41.9029,12.4534
Honduras,14.0833,-87.2167
Hong Kong,22.305,114.185
Hungary,47.4983,19.0408
Iceland,64.1475,-21.935
India,28.66,77.23
Indonesia,-6.2146,106.8451
Iran,35.7,51.4167
Iraq,33.35,44.4167
Ireland,53.3425,-6.2658
Isle Of Man,54.15,-4.4819
Israel,31.7833,35.2167
Italy,41.8931,12.4828
Jamaica,17.9714,-76.7931
Japan,35.6897,139.6922
Jersey,49.1833,-2.1167
Jordan,31.95,35.9333
Kazakhstan,43.25,76.9
Kenya,-1.2864,36.8172
Kiribati,1.3382,173.0176
South Korea,35.907757,127.766922
North Korea,40.3399, 127.5101
Kosovo,42.6667,21.1667
Kuwait,29.375,47.98
Kyrgyzstan,42.8667,74.5667
Laos,17.9667,102.6
Latvia,56.9475,24.1069
Lebanon,33.8869,35.5131
Lesotho,-29.31,27.48
Liberia,6.3106,-10.8047
Libya,32.8752,13.1875
Liechtenstein,47.1415,9.5215
Lithuania,54.6833,25.2833
Luxembourg,49.6106,6.1328
Macau,22.203,113.545
Macedonia,41.9833,21.4333
Madagascar,-18.9386,47.5214
Malawi,-15.7861,35.0058
Malaysia,3.1478,101.6953
Maldives,4.175,73.5083
Mali,12.6458,-7.9922
Malta,35.8978,14.5125
Marshall Islands,7.1167,171.3667
Martinique,14.6104,-61.08
Mauritania,18.0783,-15.9744
Mauritius,-20.1667,57.5
Mayotte,-12.7871,45.275
Mexico,19.4333,-99.1333
Micronesia,7.4256,150.5508
Moldova,47.0056,28.8575
Monaco,43.7396,7.4069
Mongolia,47.9203,106.9172
Montenegro,42.4397,19.2661
Morocco,33.5992,-7.62
Mozambique,-25.9153,32.5764
MS Zaandam,0,0
Namibia,-22.57,17.0836
Nepal,27.7167,85.3667
Netherlands,52.08,4.27
Netherlands Aruba,12.5211,-69.9683
Netherlands Bonaire Sint Eustatius and Saba,12.1784,-68.2385
Netherlands Curacao,12.1696,-68.99
Netherlands MAINLAND,52.1326,5.2913
Netherlands Sint Maarten,18.0425,-63.0548
New Caledonia,-22.2625,166.4443
New Zealand,-36.85,174.7833
Nicaragua,12.15,-86.2667
Niger,13.5086,2.1111
Nigeria,6.45,3.4
North Macedonia,41.6086,21.7453
Northern Mariana Islands,15.2137,145.7546
Norway,59.9111,10.7528
Oman,23.6139,58.5922
Pakistan,24.86,67.01
Palau,7.5006,134.6242
Panama,9,-79.5
Papua New Guinea,-9.4789,147.1494
Paraguay,-25.3,-57.6333
Peru,-12.05,-77.0333
Philippines,14.5958,120.9772
Poland,52.2167,21.0333
Portugal,38.7452,-9.1604
Puerto Rico,18.4037,-66.0636
Qatar,25.3,51.5333
Reunion,-20.8789,55.4481
Romania,44.4,26.0833
Russia,55.7558,37.6178
Rwanda,-1.9536,30.0606
Saint Helena,-7.9286,-14.4119
Saint Kitts And Nevis,17.2983,-62.7342
Saint Lucia,14.0167,-60.9833
Saint Vincent And The Grenadines,13.1667,-61.2333
Samoa,-13.8333,-171.8333
San Marino,43.932,12.4484
Sao Tome And Principe,0.3333,6.7333
Saudi Arabia,24.65,46.71
Senegal,14.7319,-17.4572
Serbia,44.8167,20.4667
Seychelles,-4.6236,55.4544
Sierra Leone,8.4833,-13.2331
Singapore,1.3,103.8
Slovakia,48.1447,17.1128
Slovenia,46.05,14.5167
Solomon Islands,-9.4333,159.95
Somalia,2.0408,45.3425
South Africa,-26.2044,28.0416
South Georgia And South Sandwich Islands,-54.2806,-36.508
South Sudan,4.85,31.6
Spain,41.3825,2.1769
Sri Lanka,6.9167,79.8333
Sudan,15.6031,32.5265
Suriname,5.8667,-55.1667
Sweden,59.3294,18.0686
Switzerland,46.948,7.4474
Syria,36.2,37.15
Taiwan,24.15,120.6667
Tajikistan,38.5731,68.7864
Tanzania,-6.8,39.2833
Thailand,13.75,100.5167
Timor-Leste,-8.5586,125.5736
Togo,6.1319,1.2228
Tonga,-21.1347,-175.2083
Trinidad And Tobago,10.6667,-61.5167
Tunisia,36.8008,10.18
Turkey,41.01,28.9603
Turkmenistan,37.95,58.3833
Turks And Caicos Islands,21.4664,-71.136
Tuvalu,-8.5167,179.2167
Uganda,0.3136,32.5811
Ukraine,50.45,30.5236
United Arab Emirates,25.2697,55.3094
United Kingdom,51.5072,-0.1275
United Kingdom Anguilla,18.2206,-63.0686
United Kingdom Bermuda,32.3078,-64.7505
United Kingdom British Virgin Islands,18.4207,-64.64
United Kingdom Cayman Islands,19.3133,-81.2546
United Kingdom Channel Islands,49.3723,-2.3644
United Kingdom Falkland Islands (Malvinas),-51.7963,-59.5236
United Kingdom Gibraltar,36.1408,-5.3536
United Kingdom Isle of Man,54.2361,-4.5481
United Kingdom MAINLAND,55.3781,-3.436
United Kingdom Montserrat,16.742498,-62.187366
