country,year,age,sex,life expectancy
Afghanistan,2019,60,Both sexes,63.21
Afghanistan,2019,60,Male,63.29
Afghanistan,2019,60,Female,63.16
Afghanistan,2019,0,Both sexes,15.21
Afghanistan,2019,0,Male,15.39
Afghanistan,2019,0,Female,15.06
Afghanistan,2015,60,Both sexes,61.65
Afghanistan,2015,60,Male,61.04
Afghanistan,2015,60,Female,62.35
Afghanistan,2015,0,Both sexes,15.59
Afghanistan,2015,0,Male,15.68
Afghanistan,2015,0,Female,15.52
Afghanistan,2010,60,Both sexes,59.94
Afghanistan,2010,60,Male,59.6
Afghanistan,2010,60,Female,60.3
Afghanistan,2010,0,Both sexes,15.12
Afghanistan,2010,0,Male,15.07
Afghanistan,2010,0,Female,15.17
Afghanistan,2000,60,Both sexes,54.99
Afghanistan,2000,60,Male,54.57
Afghanistan,2000,60,Female,55.42
Afghanistan,2000,0,Both sexes,13.92
Afghanistan,2000,0,Male,13.63
Afghanistan,2000,0,Female,14.21
Albania,2019,60,Both sexes,78
Albania,2019,60,Male,76.25
Albania,2019,60,Female,79.91
Albania,2019,0,Both sexes,21.03
Albania,2019,0,Male,20.22
Albania,2019,0,Female,21.94
Albania,2015,60,Both sexes,77.84
Albania,2015,60,Male,76.1
Albania,2015,60,Female,79.69
Albania,2015,0,Both sexes,21.13
Albania,2015,0,Male,20.13
Albania,2015,0,Female,22.15
Albania,2010,60,Both sexes,76.25
Albania,2010,60,Male,74.23
Albania,2010,60,Female,78.31
Albania,2010,0,Both sexes,21.31
Albania,2010,0,Male,19.94
Albania,2010,0,Female,22.63
Albania,2000,60,Both sexes,73.55
Albania,2000,60,Male,70.65
Albania,2000,60,Female,76.92
Albania,2000,0,Both sexes,18
Albania,2000,0,Male,17.1
Albania,2000,0,Female,21.21
Algeria,2019,60,Both sexes,77.13
Algeria,2019,60,Male,76.23
Algeria,2019,60,Female,78.12
Algeria,2019,0,Both sexes,22.04
Algeria,2019,0,Male,21.53
Algeria,2019,0,Female,22.62
Algeria,2015,60,Both sexes,76.54
Algeria,2015,60,Male,75.65
Algeria,2015,60,Female,77.5
Algeria,2015,0,Both sexes,21.81
Algeria,2015,0,Male,21.33
Algeria,2015,0,Female,22.33
Algeria,2010,60,Both sexes,75.85
Algeria,2010,60,Male,74.95
Algeria,2010,60,Female,76.79
Algeria,2010,0,Both sexes,21.37
Algeria,2010,0,Male,20.89
Algeria,2010,0,Female,21.85
Algeria,2000,60,Both sexes,72.21
Algeria,2000,60,Male,70.94
Algeria,2000,60,Female,73.54
Algeria,2000,0,Both sexes,19.81
Algeria,2000,0,Male,19.36
Algeria,2000,0,Female,20.25
Angola,2019,60,Both sexes,63.06
Angola,2019,60,Male,60.7
Angola,2019,60,Female,65.52
Angola,2019,0,Both sexes,16.98
Angola,2019,0,Male,15.38
Angola,2019,0,Female,18.55
Angola,2015,60,Both sexes,61.72
Angola,2015,60,Male,59.13
Angola,2015,60,Female,64.5
Angola,2015,0,Both sexes,16.71
Angola,2015,0,Male,14.99
Angola,2015,0,Female,18.42
Angola,2010,60,Both sexes,58.07
Angola,2010,60,Male,55.78
Angola,2010,60,Female,60.53
Angola,2010,0,Both sexes,15.97
Angola,2010,0,Male,14.37
Angola,2010,0,Female,17.54
Angola,2000,60,Both sexes,49.3
Angola,2000,60,Male,46.77
Angola,2000,60,Female,52.12
Angola,2000,0,Both sexes,14.42
Angola,2000,0,Male,12.82
Angola,2000,0,Female,16.01
Antigua And Barbuda,2019,60,Both sexes,76.45
Antigua And Barbuda,2019,60,Male,74.88
Antigua And Barbuda,2019,60,Female,77.96
Antigua And Barbuda,2019,0,Both sexes,20.59
Antigua And Barbuda,2019,0,Male,19.81
Antigua And Barbuda,2019,0,Female,21.31
Antigua And Barbuda,2015,60,Both sexes,76.14
Antigua And Barbuda,2015,60,Male,74.43
Antigua And Barbuda,2015,60,Female,77.76
Antigua And Barbuda,2015,0,Both sexes,20.43
Antigua And Barbuda,2015,0,Male,19.59
Antigua And Barbuda,2015,0,Female,21.2
Antigua And Barbuda,2010,60,Both sexes,75.95
Antigua And Barbuda,2010,60,Male,73.56
Antigua And Barbuda,2010,60,Female,78.25
Antigua And Barbuda,2010,0,Both sexes,20.5
Antigua And Barbuda,2010,0,Male,19.14
Antigua And Barbuda,2010,0,Female,21.77
Antigua And Barbuda,2000,60,Both sexes,74.56
Antigua And Barbuda,2000,60,Male,71
Antigua And Barbuda,2000,60,Female,76.95
Antigua And Barbuda,2000,0,Both sexes,20.27
Antigua And Barbuda,2000,0,Male,19.12
Antigua And Barbuda,2000,0,Female,21.32
Argentina,2019,60,Both sexes,76.58
Argentina,2019,60,Male,73.51
Argentina,2019,60,Female,79.5
Argentina,2019,0,Both sexes,21.11
Argentina,2019,0,Male,18.84
Argentina,2019,0,Female,23.08
Argentina,2015,60,Both sexes,76.17
Argentina,2015,60,Male,72.92
Argentina,2015,60,Female,79.3
Argentina,2015,0,Both sexes,20.98
Argentina,2015,0,Male,18.63
Argentina,2015,0,Female,23.04
Argentina,2010,60,Both sexes,75.44
Argentina,2010,60,Male,72.14
Argentina,2010,60,Female,78.63
Argentina,2010,0,Both sexes,20.62
Argentina,2010,0,Male,18.27
Argentina,2010,0,Female,22.7
Argentina,2000,60,Both sexes,74.09
Argentina,2000,60,Male,70.34
Argentina,2000,60,Female,77.83
Argentina,2000,0,Both sexes,20.18
Argentina,2000,0,Male,17.58
Argentina,2000,0,Female,22.52
Armenia,2019,60,Both sexes,76.03
Armenia,2019,60,Male,72.49
Armenia,2019,60,Female,79.16
Armenia,2019,0,Both sexes,20.41
Armenia,2019,0,Male,18.24
Armenia,2019,0,Female,22.15
Armenia,2015,60,Both sexes,74.51
Armenia,2015,60,Male,70.88
Armenia,2015,60,Female,77.83
Armenia,2015,0,Both sexes,19.42
Armenia,2015,0,Male,17.32
Armenia,2015,0,Female,21.17
Armenia,2010,60,Both sexes,73.12
Armenia,2010,60,Male,69.39
Armenia,2010,60,Female,76.61
Armenia,2010,0,Both sexes,18.79
Armenia,2010,0,Male,16.76
Armenia,2010,0,Female,20.52
Armenia,2000,60,Both sexes,71.88
Armenia,2000,60,Male,68.59
Armenia,2000,60,Female,74.91
Armenia,2000,0,Both sexes,18.81
Armenia,2000,0,Male,17.08
Armenia,2000,0,Female,20.23
Australia,2019,60,Both sexes,83.04
Australia,2019,60,Male,81.25
Australia,2019,60,Female,84.84
Australia,2019,0,Both sexes,25.62
Australia,2019,0,Male,24.37
Australia,2019,0,Female,26.83
Australia,2015,60,Both sexes,82.28
Australia,2015,60,Male,80.41
Australia,2015,60,Female,84.17
Australia,2015,0,Both sexes,25.01
Australia,2015,0,Male,23.72
Australia,2015,0,Female,26.27
Australia,2010,60,Both sexes,81.9
Australia,2010,60,Male,79.84
Australia,2010,60,Female,83.99
Australia,2010,0,Both sexes,24.74
Australia,2010,0,Male,23.29
Australia,2010,0,Female,26.13
Australia,2000,60,Both sexes,79.69
Australia,2000,60,Male,77.13
Australia,2000,60,Female,82.24
Australia,2000,0,Both sexes,23.11
Australia,2000,0,Male,21.22
Australia,2000,0,Female,24.85
Austria,2019,60,Both sexes,81.65
Austria,2019,60,Male,79.44
Austria,2019,60,Female,83.78
Austria,2019,0,Both sexes,24.09
Austria,2019,0,Male,22.43
Austria,2019,0,Female,25.6
Austria,2015,60,Both sexes,80.98
Austria,2015,60,Male,78.6
Austria,2015,60,Female,83.29
Austria,2015,0,Both sexes,23.59
Austria,2015,0,Male,21.8
Austria,2015,0,Female,25.21
Austria,2010,60,Both sexes,80.39
Austria,2010,60,Male,77.65
Austria,2010,60,Female,82.99
Austria,2010,0,Both sexes,23.43
Austria,2010,0,Male,21.44
Austria,2010,0,Female,25.16
Austria,2000,60,Both sexes,78.17
Austria,2000,60,Male,75.09
Austria,2000,60,Female,80.98
Austria,2000,0,Both sexes,21.95
Austria,2000,0,Male,19.73
Austria,2000,0,Female,23.69
Azerbaijan,2019,60,Both sexes,71.43
Azerbaijan,2019,60,Male,68.78
Azerbaijan,2019,60,Female,74.09
Azerbaijan,2019,0,Both sexes,17.06
Azerbaijan,2019,0,Male,15.65
Azerbaijan,2019,0,Female,18.32
Azerbaijan,2015,60,Both sexes,70.67
Azerbaijan,2015,60,Male,67.94
Azerbaijan,2015,60,Female,73.43
Azerbaijan,2015,0,Both sexes,16.62
Azerbaijan,2015,0,Male,15.14
Azerbaijan,2015,0,Female,17.95
Azerbaijan,2010,60,Both sexes,69.03
Azerbaijan,2010,60,Male,66.29
Azerbaijan,2010,60,Female,71.83
Azerbaijan,2010,0,Both sexes,16.36
Azerbaijan,2010,0,Male,14.95
Azerbaijan,2010,0,Female,17.64
Azerbaijan,2000,60,Both sexes,65.52
Azerbaijan,2000,60,Male,62.57
Azerbaijan,2000,60,Female,68.5
Azerbaijan,2000,0,Both sexes,16.61
Azerbaijan,2000,0,Male,15.12
Azerbaijan,2000,0,Female,17.88
Bahamas,2019,60,Both sexes,73.21
Bahamas,2019,60,Male,69.85
Bahamas,2019,60,Female,76.59
Bahamas,2019,0,Both sexes,20.84
Bahamas,2019,0,Male,19.12
Bahamas,2019,0,Female,22.39
Bahamas,2015,60,Both sexes,72.92
Bahamas,2015,60,Male,69.73
Bahamas,2015,60,Female,76.08
Bahamas,2015,0,Both sexes,20.88
Bahamas,2015,0,Male,19.3
Bahamas,2015,0,Female,22.28
Bahamas,2010,60,Both sexes,72.96
Bahamas,2010,60,Male,69.64
Bahamas,2010,60,Female,76.25
Bahamas,2010,0,Both sexes,20.7
Bahamas,2010,0,Male,19.01
Bahamas,2010,0,Female,22.22
Bahamas,2000,60,Both sexes,70.94
Bahamas,2000,60,Male,67.64
Bahamas,2000,60,Female,74.19
Bahamas,2000,0,Both sexes,19.95
Bahamas,2000,0,Male,18.25
Bahamas,2000,0,Female,21.37
Bahrain,2019,60,Both sexes,75.81
Bahrain,2019,60,Male,75.04
Bahrain,2019,60,Female,77.02
Bahrain,2019,0,Both sexes,19.01
Bahrain,2019,0,Male,18.72
Bahrain,2019,0,Female,19.36
Bahrain,2015,60,Both sexes,76.46
Bahrain,2015,60,Male,75.87
Bahrain,2015,60,Female,77.27
Bahrain,2015,0,Both sexes,19.67
Bahrain,2015,0,Male,19.39
Bahrain,2015,0,Female,19.95
Bahrain,2010,60,Both sexes,74.52
Bahrain,2010,60,Male,73.85
Bahrain,2010,60,Female,75.34
Bahrain,2010,0,Both sexes,17.82
Bahrain,2010,0,Male,17.38
Bahrain,2010,0,Female,18.27
Bahrain,2000,60,Both sexes,70.47
Bahrain,2000,60,Male,69.55
Bahrain,2000,60,Female,71.77
Bahrain,2000,0,Both sexes,14.97
Bahrain,2000,0,Male,14.46
Bahrain,2000,0,Female,15.61
Bangladesh,2019,60,Both sexes,74.25
Bangladesh,2019,60,Male,72.99
Bangladesh,2019,60,Female,75.64
Bangladesh,2019,0,Both sexes,20.86
Bangladesh,2019,0,Male,20.26
Bangladesh,2019,0,Female,21.53
Bangladesh,2015,60,Both sexes,73.58
Bangladesh,2015,60,Male,72.5
Bangladesh,2015,60,Female,74.79
Bangladesh,2015,0,Both sexes,20.9
Bangladesh,2015,0,Male,20.49
Bangladesh,2015,0,Female,21.37
Bangladesh,2010,60,Both sexes,70.29
Bangladesh,2010,60,Male,68.63
Bangladesh,2010,60,Female,72.22
Bangladesh,2010,0,Both sexes,19.02
Bangladesh,2010,0,Male,18.06
Bangladesh,2010,0,Female,20.14
Bangladesh,2000,60,Both sexes,65.59
Bangladesh,2000,60,Male,64.07
Bangladesh,2000,60,Female,67.36
Bangladesh,2000,0,Both sexes,17.84
Bangladesh,2000,0,Male,17.11
Bangladesh,2000,0,Female,18.7
Barbados,2019,60,Both sexes,76.03
Barbados,2019,60,Male,74.32
Barbados,2019,60,Female,77.66
Barbados,2019,0,Both sexes,20.92
Barbados,2019,0,Male,19.94
Barbados,2019,0,Female,21.79
Barbados,2015,60,Both sexes,76.22
Barbados,2015,60,Male,75.01
Barbados,2015,60,Female,77.36
Barbados,2015,0,Both sexes,21.4
Barbados,2015,0,Male,21.01
Barbados,2015,0,Female,21.72
Barbados,2010,60,Both sexes,75.88
Barbados,2010,60,Male,74.46
Barbados,2010,60,Female,77.2
Barbados,2010,0,Both sexes,21.3
Barbados,2010,0,Male,20.81
Barbados,2010,0,Female,21.69
Barbados,2000,60,Both sexes,74.5
Barbados,2000,60,Male,72.13
Barbados,2000,60,Female,76.72
Barbados,2000,0,Both sexes,20.72
Barbados,2000,0,Male,19.69
Barbados,2000,0,Female,21.52
Belarus,2019,60,Both sexes,74.81
Belarus,2019,60,Male,69.65
Belarus,2019,60,Female,79.62
Belarus,2019,0,Both sexes,19.72
Belarus,2019,0,Male,16.04
Belarus,2019,0,Female,22.48
Belarus,2015,60,Both sexes,73.82
Belarus,2015,60,Male,68.56
Belarus,2015,60,Female,78.79
Belarus,2015,0,Both sexes,19.23
Belarus,2015,0,Male,15.67
Belarus,2015,0,Female,21.87
Belarus,2010,60,Both sexes,70.39
Belarus,2010,60,Male,64.55
Belarus,2010,60,Female,76.41
Belarus,2010,0,Both sexes,17.72
Belarus,2010,0,Male,14.14
Belarus,2010,0,Female,20.51
Belarus,2000,60,Both sexes,68.85
Belarus,2000,60,Male,63.28
Belarus,2000,60,Female,74.61
Belarus,2000,0,Both sexes,17.15
Belarus,2000,0,Male,14.07
Belarus,2000,0,Female,19.45
Belgium,2019,60,Both sexes,81.42
Belgium,2019,60,Male,79.29
Belgium,2019,60,Female,83.51
Belgium,2019,0,Both sexes,24.02
Belgium,2019,0,Male,22.33
Belgium,2019,0,Female,25.58
Belgium,2015,60,Both sexes,80.71
