country,dataDate,confirmed
Afghanistan,2020-01-22,0
Afghanistan,2020-01-23,0
Afghanistan,2020-01-24,0
Afghanistan,2020-01-25,0
Afghanistan,2020-01-26,0
Afghanistan,2020-01-27,0
Afghanistan,2020-01-28,0
Afghanistan,2020-01-29,0
Afghanistan,2020-01-30,0
Afghanistan,2020-01-31,0
Afghanistan,2020-02-01,0
Afghanistan,2020-02-02,0
Afghanistan,2020-02-03,0
Afghanistan,2020-02-04,0
Afghanistan,2020-02-05,0
Afghanistan,2020-02-06,0
Afghanistan,2020-02-07,0
Afghanistan,2020-02-08,0
Afghanistan,2020-02-09,0
Afghanistan,2020-02-10,0
Afghanistan,2020-02-11,0
Afghanistan,2020-02-12,0
Afghanistan,2020-02-13,0
Afghanistan,2020-02-14,0
Afghanistan,2020-02-15,0
Afghanistan,2020-02-16,0
Afghanistan,2020-02-17,0
Afghanistan,2020-02-18,0
Afghanistan,2020-02-19,0
Afghanistan,2020-02-20,0
Afghanistan,2020-02-21,0
Afghanistan,2020-02-22,0
Afghanistan,2020-02-23,0
Afghanistan,2020-02-24,1
Afghanistan,2020-02-25,1
Afghanistan,2020-02-26,1
Afghanistan,2020-02-27,1
Afghanistan,2020-02-28,1
Afghanistan,2020-02-29,1
Afghanistan,2020-03-01,1
Afghanistan,2020-03-02,1
Afghanistan,2020-03-03,2
Afghanistan,2020-03-04,4
Afghanistan,2020-03-05,4
Afghanistan,2020-03-06,4
Afghanistan,2020-03-07,4
Afghanistan,2020-03-08,5
Afghanistan,2020-03-09,7
Afghanistan,2020-03-10,8
Afghanistan,2020-03-11,11
Afghanistan,2020-03-12,12
Afghanistan,2020-03-13,13
Afghanistan,2020-03-14,15
Afghanistan,2020-03-15,16
Afghanistan,2020-03-16,18
Afghanistan,2020-03-17,20
Afghanistan,2020-03-18,24
Afghanistan,2020-03-19,25
Afghanistan,2020-03-20,29
Afghanistan,2020-03-21,30
Afghanistan,2020-03-22,34
Afghanistan,2020-03-23,41
Afghanistan,2020-03-24,43
Afghanistan,2020-03-25,76
Afghanistan,2020-03-26,80
Afghanistan,2020-03-27,91
Afghanistan,2020-03-28,107
Afghanistan,2020-03-29,118
Afghanistan,2020-03-30,146
Afghanistan,2020-03-31,175
Afghanistan,2020-04-01,197
Afghanistan,2020-04-02,240
Afghanistan,2020-04-03,275
Afghanistan,2020-04-04,300
Afghanistan,2020-04-05,338
Afghanistan,2020-04-06,368
Afghanistan,2020-04-07,424
Afghanistan,2020-04-08,445
Afghanistan,2020-04-09,485
Afghanistan,2020-04-10,532
Afghanistan,2020-04-11,556
Afghanistan,2020-04-12,608
Afghanistan,2020-04-13,666
Afghanistan,2020-04-14,715
Afghanistan,2020-04-15,785
Afghanistan,2020-04-16,841
Afghanistan,2020-04-17,907
Afghanistan,2020-04-18,934
Afghanistan,2020-04-19,997
Afghanistan,2020-04-20,1027
Afghanistan,2020-04-21,1093
Afghanistan,2020-04-22,1177
Afghanistan,2020-04-23,1236
Afghanistan,2020-04-24,1331
Afghanistan,2020-04-25,1464
Afghanistan,2020-04-26,1532
Afghanistan,2020-04-27,1704
Afghanistan,2020-04-28,1830
Afghanistan,2020-04-29,1940
Afghanistan,2020-04-30,2127
Afghanistan,2020-05-01,2291
Afghanistan,2020-05-02,2470
Afghanistan,2020-05-03,2705
Afghanistan,2020-05-04,2895
Afghanistan,2020-05-05,3225
Afghanistan,2020-05-06,3393
Afghanistan,2020-05-07,3564
Afghanistan,2020-05-08,3781
Afghanistan,2020-05-09,4042
Afghanistan,2020-05-10,4403
Afghanistan,2020-05-11,4687
Afghanistan,2020-05-12,4968
Afghanistan,2020-05-13,5227
Afghanistan,2020-05-14,5640
Afghanistan,2020-05-15,6054
Afghanistan,2020-05-16,6403
Afghanistan,2020-05-17,6665
Afghanistan,2020-05-18,7073
Afghanistan,2020-05-19,7654
Afghanistan,2020-05-20,8146
Afghanistan,2020-05-21,8677
Afghanistan,2020-05-22,9219
Afghanistan,2020-05-23,10001
Afghanistan,2020-05-24,10585
Afghanistan,2020-05-25,11176
Afghanistan,2020-05-26,11834
Afghanistan,2020-05-27,12459
Afghanistan,2020-05-28,13039
Afghanistan,2020-05-29,13662
Afghanistan,2020-05-30,14528
Afghanistan,2020-05-31,15208
Afghanistan,2020-06-01,15753
Afghanistan,2020-06-02,16512
Afghanistan,2020-06-03,17270
Afghanistan,2020-06-04,18057
Afghanistan,2020-06-05,18972
Afghanistan,2020-06-06,19554
Afghanistan,2020-06-07,20345
Afghanistan,2020-06-08,20920
Afghanistan,2020-06-09,21462
Afghanistan,2020-06-10,22146
Afghanistan,2020-06-11,22894
Afghanistan,2020-06-12,23550
Afghanistan,2020-06-13,24106
Afghanistan,2020-06-14,24770
Afghanistan,2020-06-15,25531
Afghanistan,2020-06-16,26314
Afghanistan,2020-06-17,26878
Afghanistan,2020-06-18,27536
Afghanistan,2020-06-19,27882
