country,date,recovered
Afghanistan,January 22 2020,0
Afghanistan,January 23 2020,0
Afghanistan,January 24 2020,0
Afghanistan,January 25 2020,0
Afghanistan,January 26 2020,0
Afghanistan,January 27 2020,0
Afghanistan,January 28 2020,0
Afghanistan,January 29 2020,0
Afghanistan,January 30 2020,0
Afghanistan,January 31 2020,0
Afghanistan,February 1 2020,0
Afghanistan,February 2 2020,0
Afghanistan,February 3 2020,0
Afghanistan,February 4 2020,0
Afghanistan,February 5 2020,0
Afghanistan,February 6 2020,0
Afghanistan,February 7 2020,0
Afghanistan,February 8 2020,0
Afghanistan,February 9 2020,0
Afghanistan,February 10 2020,0
Afghanistan,February 11 2020,0
Afghanistan,February 12 2020,0
Afghanistan,February 13 2020,0
Afghanistan,February 14 2020,0
Afghanistan,February 15 2020,0
Afghanistan,February 16 2020,0
Afghanistan,February 17 2020,0
Afghanistan,February 18 2020,0
Afghanistan,February 19 2020,0
Afghanistan,February 20 2020,0
Afghanistan,February 21 2020,0
Afghanistan,February 22 2020,0
Afghanistan,February 23 2020,0
Afghanistan,February 24 2020,0
Afghanistan,February 25 2020,0
Afghanistan,February 26 2020,0
Afghanistan,February 27 2020,0
Afghanistan,February 28 2020,0
Afghanistan,February 29 2020,0
Afghanistan,March 1 2020,0
Afghanistan,March 2 2020,0
Afghanistan,March 3 2020,0
Afghanistan,March 4 2020,0
Afghanistan,March 5 2020,0
Afghanistan,March 6 2020,0
Afghanistan,March 7 2020,0
Afghanistan,March 8 2020,0
Afghanistan,March 9 2020,0
Afghanistan,March 10 2020,0
Afghanistan,March 11 2020,0
Afghanistan,March 12 2020,0
Afghanistan,March 13 2020,0
Afghanistan,March 14 2020,0
Afghanistan,March 15 2020,0
Afghanistan,March 16 2020,1
Afghanistan,March 17 2020,1
Afghanistan,March 18 2020,1
Afghanistan,March 19 2020,1
Afghanistan,March 20 2020,1
Afghanistan,March 21 2020,1
Afghanistan,March 22 2020,1
Afghanistan,March 23 2020,1
Afghanistan,March 24 2020,1
Afghanistan,March 25 2020,2
Afghanistan,March 26 2020,2
Afghanistan,March 27 2020,2
Afghanistan,March 28 2020,2
Afghanistan,March 29 2020,2
Afghanistan,March 30 2020,2
Afghanistan,March 31 2020,5
Afghanistan,April 1 2020,5
Afghanistan,April 2 2020,10
Afghanistan,April 3 2020,10
Afghanistan,April 4 2020,10
Afghanistan,April 5 2020,15
Afghanistan,April 6 2020,18
Afghanistan,April 7 2020,18
Afghanistan,April 8 2020,29
Afghanistan,April 9 2020,32
Afghanistan,April 10 2020,32
Afghanistan,April 11 2020,32
Afghanistan,April 12 2020,32
Afghanistan,April 13 2020,32
Afghanistan,April 14 2020,40
Afghanistan,April 15 2020,43
Afghanistan,April 16 2020,54
Afghanistan,April 17 2020,99
Afghanistan,April 18 2020,112
Afghanistan,April 19 2020,131
Afghanistan,April 20 2020,135
Afghanistan,April 21 2020,150
Afghanistan,April 22 2020,166
Afghanistan,April 23 2020,179
Afghanistan,April 24 2020,188
Afghanistan,April 25 2020,188
Afghanistan,April 26 2020,207
Afghanistan,April 27 2020,220
Afghanistan,April 28 2020,228
Afghanistan,April 29 2020,252
Afghanistan,April 30 2020,260
Afghanistan,May 1 2020,310
Afghanistan,May 2 2020,331
Afghanistan,May 3 2020,345
Afghanistan,May 4 2020,397
Afghanistan,May 5 2020,421
Afghanistan,May 6 2020,458
Afghanistan,May 7 2020,468
Afghanistan,May 8 2020,472
Afghanistan,May 9 2020,502
Afghanistan,May 10 2020,558
Afghanistan,May 11 2020,558
Afghanistan,May 12 2020,610
Afghanistan,May 13 2020,648
Afghanistan,May 14 2020,691
Afghanistan,May 15 2020,745
Afghanistan,May 16 2020,745
Afghanistan,May 17 2020,778
Afghanistan,May 18 2020,801
Afghanistan,May 19 2020,850
Afghanistan,May 20 2020,930
Afghanistan,May 21 2020,938
Afghanistan,May 22 2020,996
Afghanistan,May 23 2020,1040
Afghanistan,May 24 2020,1075
Afghanistan,May 25 2020,1097
Afghanistan,May 26 2020,1128
Afghanistan,May 27 2020,1138
Afghanistan,May 28 2020,1209
Afghanistan,May 29 2020,1259
Afghanistan,May 30 2020,1303
Afghanistan,May 31 2020,1328
Afghanistan,June 1 2020,1428
Afghanistan,June 2 2020,1450
Afghanistan,June 3 2020,1522
Afghanistan,June 4 2020,1585
Afghanistan,June 5 2020,1762
Afghanistan,June 6 2020,1830
Afghanistan,June 7 2020,1875
Afghanistan,June 8 2020,2171
Afghanistan,June 9 2020,2651
Afghanistan,June 10 2020,3013
Afghanistan,June 11 2020,3326
Afghanistan,June 12 2020,3928
Afghanistan,June 13 2020,4201
Afghanistan,June 14 2020,4725
Afghanistan,June 15 2020,5164
Afghanistan,June 16 2020,5508
Afghanistan,June 17 2020,6158
Afghanistan,June 18 2020,7660
Afghanistan,June 19 2020,7962
Afghanistan,June 20 2020,8292
Afghanistan,June 21 2020,8764
Afghanistan,June 22 2020,8841
Afghanistan,June 23 2020,9260
Afghanistan,June 24 2020,9869
Afghanistan,June 25 2020,10174
Afghanistan,June 26 2020,10306
Afghanistan,June 27 2020,10674
Afghanistan,June 28 2020,12604
Afghanistan,June 29 2020,13934
Afghanistan,June 30 2020,14131
Afghanistan,July 1 2020,15651
Afghanistan,July 2 2020,16041
Afghanistan,July 3 2020,17331
Afghanistan,July 4 2020,19164
Afghanistan,July 5 2020,19366
Afghanistan,July 6 2020,20103
Afghanistan,July 7 2020,20179
Afghanistan,July 8 2020,20700
Afghanistan,July 9 2020,20847
Afghanistan,July 10 2020,20882
Afghanistan,July 11 2020,21135
Afghanistan,July 12 2020,21216
Afghanistan,July 13 2020,21254
Afghanistan,July 14 2020,21454
Afghanistan,July 15 2020,22456
Afghanistan,July 16 2020,22824
