Norway,9.87
Iceland,9.58
Sweden,9.39
New Zealand,9.26
Finland,9.25
Ireland,9.24
Canada,9.22
Denmark,9.22
Australia,9.09
Switzerland,9.03
Netherlands,9.01
Luxembourg,8.81
Germany,8.68
United Kingdom,8.52
Uruguay,8.38
Austria,8.29
Mauritius,8.22
Spain,8.18
Costa Rica,8.13
France,8.12
Chile,8.08
Portugal,8.03
South Korea,8.0
Japan,7.99
United States,7.96
Malta,7.95
Estonia,7.9
Israel,7.86
Botswana,7.81
Cabo Verde,7.78
Taiwan,7.73
Czechia,7.69
Belgium,7.64
Cyprus,7.59
Italy,7.52
Slovenia,7.5
Lithuania,7.5
Latvia,7.49
Greece,7.43
South Africa,7.24
Timor-Leste,7.19
Slovakia,7.17
Malaysia,7.16
Trinidad And Tobago,7.16
Colombia,7.13
Panama,7.05
Bulgaria,7.03
Argentina,7.02
Suriname,6.98
Jamaica,6.96
India,6.9
Brazil,6.86
Tunisia,6.72
Philippines,6.64
Ghana,6.63
Hungary,6.63
Poland,6.62
Peru,6.6
Croatia,6.57
Lesotho,6.54
Dominican Republic,6.54
Mongolia,6.5
Romania,6.49
Indonesia,6.48
Namibia,6.43
Serbia,6.41
Ecuador,6.33
Thailand,6.32
Sri Lanka,6.27
Paraguay,6.24
El Salvador,6.15
Guyana,6.15
Mexico,6.09
Papua New Guinea,6.03
Hong Kong,6.02
Singapore,6.02
North Macedonia,5.97
Ukraine,5.9
Albania,5.89
Bangladesh,5.88
Fiji,5.85
Senegal,5.81
Moldova,5.75
Montenegro,5.65
Madagascar,5.64
Armenia,5.54
Malawi,5.5
Liberia,5.45
Honduras,5.42
Georgia,5.42
Bhutan,5.3
Nepal,5.28
Guatemala,5.26
Kenya,5.18
Tanzania,5.16
Morocco,5.1
Benin,5.09
Zambia,5.09
Uganda,5.02
Mali,4.92
Kyrgyzstan,4.89
Sierra Leone,4.86
Bosnia And Herzegovina,4.86
Bolivia,4.84
Haiti,4.57
Lebanon,4.36
Gambia,4.33
Pakistan,4.25
Nigeria,4.12
Turkey,4.09
Cote d'Ivoire,4.05
Burkina Faso,4.04
Algeria,4.01
Jordan,3.93
Kuwait,3.93
Mauritania,3.92
Iraq,3.74
Angola,3.72
Mozambique,3.65
Gabon,3.61
Nicaragua,3.55
Burma,3.55
Cambodia,3.53
Ethiopia,3.44
Togo,3.3
Niger,3.29
Qatar,3.19
Rwanda,3.16
Zimbabwe,3.16
Comoros,3.15
Guinea,3.14
Eswatini,3.14
Congo (Brazzaville),3.11
Russia,3.11
Vietnam,3.08
Oman,3.06
Egypt,3.06
Kazakhstan,2.94
Venezuela,2.88
Belarus,2.88
Cameroon,2.85
Afghanistan,2.85
Cuba,2.84
Djibouti,2.77
United Arab Emirates,2.76
Azerbaijan,2.75
Sudan,2.7
Guinea-Bissau,2.63
Bahrain,2.55
Iran,2.38
Eritrea,2.37
China,2.26
Burundi,2.15
Laos,2.14
Libya,2.02
Uzbekistan,2.01
Yemen,1.95
Tajikistan,1.93
Saudi Arabia,1.93
Equatorial Guinea,1.92
Turkmenistan,1.72
Chad,1.61
Syria,1.43
Central African Republic,1.32
Congo,1.13
North Korea,1.08
