country,region
Norway,Western Europe
Iceland,Western Europe
Sweden,Western Europe
New Zealand,Asia & Australasia
Finland,Western Europe
Ireland,Western Europe
Canada,North America
Denmark,Western Europe
Australia,Asia & Australasia
Switzerland,Western Europe
Netherlands,Western Europe
Luxembourg,Western Europe
Germany,Western Europe
United Kingdom,Western Europe
Uruguay,Latin America & the Caribbean
Austria,Western Europe
Mauritius,Sub-Saharan Africa
Spain,Western Europe
Costa Rica,Latin America & the Caribbean
France,Western Europe
Chile,Latin America & the Caribbean
Portugal,Western Europe
South Korea,Asia & Australasia
Japan,Asia & Australasia
United States,North America
Malta,Western Europe
Estonia,Eastern Europe
Israel,Middle East & North Africa
Botswana,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Taiwan,Asia & Australasia
Czechia,Eastern Europe
Belgium,Western Europe
Cyprus,Western Europe
Italy,Western Europe
Slovenia,Eastern Europe
Lithuania,Eastern Europe
Latvia,Eastern Europe
Greece,Western Europe
South Africa,Sub-Saharan Africa
Timor-Leste,Asia & Australasia
Slovakia,Eastern Europe
Malaysia,Asia & Australasia
Trinidad And Tobago,Latin America & the Caribbean
Colombia,Latin America & the Caribbean
Panama,Latin America & the Caribbean
Bulgaria,Eastern Europe
Argentina,Latin America & the Caribbean
Suriname,Latin America & the Caribbean
Jamaica,Latin America & the Caribbean
India,Asia & Australasia
Brazil,Latin America & the Caribbean
Tunisia,Middle East & North Africa
Philippines,Asia & Australasia
Ghana,Sub-Saharan Africa
Hungary,Eastern Europe
Poland,Eastern Europe
Peru,Latin America & the Caribbean
Croatia,Eastern Europe
Lesotho,Sub-Saharan Africa
Dominican Republic,Latin America & the Caribbean
Mongolia,Asia & Australasia
Romania,Eastern Europe
Indonesia,Asia & Australasia
Namibia,Sub-Saharan Africa
Serbia,Eastern Europe
Ecuador,Latin America & the Caribbean
Thailand,Asia & Australasia
Sri Lanka,Asia & Australasia
Paraguay,Latin America & the Caribbean
El Salvador,Latin America & the Caribbean
Guyana,Latin America & the Caribbean
Mexico,Latin America & the Caribbean
Papua New Guinea,Asia & Australasia
Hong Kong,Asia & Australasia
Singapore,Asia & Australasia
North Macedonia,Eastern Europe
Ukraine,Eastern Europe
Albania,Eastern Europe
Bangladesh,Asia & Australasia
Fiji,Asia & Australasia
Senegal,Sub-Saharan Africa
Moldova,Eastern Europe
Montenegro,Eastern Europe
Madagascar,Sub-Saharan Africa
Armenia,Eastern Europe
Malawi,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Honduras,Latin America & the Caribbean
Georgia,Eastern Europe
Bhutan,Asia & Australasia
Nepal,Asia & Australasia
Guatemala,Latin America & the Caribbean
Kenya,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Morocco,Middle East & North Africa
Benin,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Kyrgyzstan,Eastern Europe
Sierra Leone,Sub-Saharan Africa
Bosnia And Herzegovina,Eastern Europe
Bolivia,Latin America & the Caribbean
Haiti,Latin America & the Caribbean
Lebanon,Middle East & North Africa
Gambia,Sub-Saharan Africa
Pakistan,Asia & Australasia
Nigeria,Sub-Saharan Africa
Turkey,Western Europe
Cote d'Ivoire,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Algeria,Middle East & North Africa
Jordan,Middle East & North Africa
Kuwait,Middle East & North Africa
Mauritania,Sub-Saharan Africa
Iraq,Middle East & North Africa
Angola,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Nicaragua,Latin America & the Caribbean
Burma,Asia & Australasia
Cambodia,Asia & Australasia
Ethiopia,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Qatar,Middle East & North Africa
Rwanda,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Congo (Brazzaville),Sub-Saharan Africa
Russia,Eastern Europe
Vietnam,Asia & Australasia
Oman,Middle East & North Africa
Egypt,Middle East & North Africa
Kazakhstan,Eastern Europe
Venezuela,Latin America & the Caribbean
Belarus,Eastern Europe
Cameroon,Sub-Saharan Africa
Afghanistan,Asia & Australasia
Cuba,Latin America & the Caribbean
Djibouti,Sub-Saharan Africa
United Arab Emirates,Middle East & North Africa
Azerbaijan,Eastern Europe
Sudan,Middle East & North Africa
Guinea-Bissau,Sub-Saharan Africa
Bahrain,Middle East & North Africa
Iran,Middle East & North Africa
Eritrea,Sub-Saharan Africa
China,Asia & Australasia
Burundi,Sub-Saharan Africa
Laos,Asia & Australasia
Libya,Middle East & North Africa
Uzbekistan,Eastern Europe
Yemen,Middle East & North Africa
Tajikistan,Eastern Europe
Saudi Arabia,Middle East & North Africa
Equatorial Guinea,Sub-Saharan Africa
Turkmenistan,Eastern Europe
Chad,Sub-Saharan Africa
Syria,Middle East & North Africa
Central African Republic,Sub-Saharan Africa
Congo,Sub-Saharan Africa
North Korea,Asia & Australasia
