country,date,confirmed
Afghanistan,January 22 2020,0
Afghanistan,January 23 2020,0
Afghanistan,January 24 2020,0
Afghanistan,January 25 2020,0
Afghanistan,January 26 2020,0
Afghanistan,January 27 2020,0
Afghanistan,January 28 2020,0
Afghanistan,January 29 2020,0
Afghanistan,January 30 2020,0
Afghanistan,January 31 2020,0
Afghanistan,February 1 2020,0
Afghanistan,February 2 2020,0
Afghanistan,February 3 2020,0
Afghanistan,February 4 2020,0
Afghanistan,February 5 2020,0
Afghanistan,February 6 2020,0
Afghanistan,February 7 2020,0
Afghanistan,February 8 2020,0
Afghanistan,February 9 2020,0
Afghanistan,February 10 2020,0
Afghanistan,February 11 2020,0
Afghanistan,February 12 2020,0
Afghanistan,February 13 2020,0
Afghanistan,February 14 2020,0
Afghanistan,February 15 2020,0
Afghanistan,February 16 2020,0
Afghanistan,February 17 2020,0
Afghanistan,February 18 2020,0
Afghanistan,February 19 2020,0
Afghanistan,February 20 2020,0
Afghanistan,February 21 2020,0
Afghanistan,February 22 2020,0
Afghanistan,February 23 2020,0
Afghanistan,February 24 2020,1
Afghanistan,February 25 2020,1
Afghanistan,February 26 2020,1
Afghanistan,February 27 2020,1
Afghanistan,February 28 2020,1
Afghanistan,February 29 2020,1
Afghanistan,March 1 2020,1
Afghanistan,March 2 2020,1
Afghanistan,March 3 2020,2
Afghanistan,March 4 2020,4
Afghanistan,March 5 2020,4
Afghanistan,March 6 2020,4
Afghanistan,March 7 2020,4
Afghanistan,March 8 2020,5
Afghanistan,March 9 2020,7
Afghanistan,March 10 2020,8
Afghanistan,March 11 2020,11
Afghanistan,March 12 2020,12
Afghanistan,March 13 2020,13
Afghanistan,March 14 2020,15
Afghanistan,March 15 2020,16
Afghanistan,March 16 2020,18
Afghanistan,March 17 2020,20
Afghanistan,March 18 2020,24
Afghanistan,March 19 2020,25
Afghanistan,March 20 2020,29
Afghanistan,March 21 2020,30
Afghanistan,March 22 2020,34
Afghanistan,March 23 2020,41
Afghanistan,March 24 2020,43
Afghanistan,March 25 2020,76
Afghanistan,March 26 2020,80
Afghanistan,March 27 2020,91
Afghanistan,March 28 2020,107
Afghanistan,March 29 2020,118
Afghanistan,March 30 2020,146
Afghanistan,March 31 2020,175
Afghanistan,April 1 2020,197
Afghanistan,April 2 2020,240
Afghanistan,April 3 2020,275
Afghanistan,April 4 2020,300
Afghanistan,April 5 2020,338
Afghanistan,April 6 2020,368
Afghanistan,April 7 2020,424
Afghanistan,April 8 2020,445
Afghanistan,April 9 2020,485
Afghanistan,April 10 2020,532
Afghanistan,April 11 2020,556
Afghanistan,April 12 2020,608
Afghanistan,April 13 2020,666
Afghanistan,April 14 2020,715
Afghanistan,April 15 2020,785
Afghanistan,April 16 2020,841
Afghanistan,April 17 2020,907
Afghanistan,April 18 2020,934
Afghanistan,April 19 2020,997
Afghanistan,April 20 2020,1027
Afghanistan,April 21 2020,1093
Afghanistan,April 22 2020,1177
Afghanistan,April 23 2020,1236
Afghanistan,April 24 2020,1331
Afghanistan,April 25 2020,1464
Afghanistan,April 26 2020,1532
Afghanistan,April 27 2020,1704
Afghanistan,April 28 2020,1830
Afghanistan,April 29 2020,1940
Afghanistan,April 30 2020,2127
Afghanistan,May 1 2020,2291
Afghanistan,May 2 2020,2470
Afghanistan,May 3 2020,2705
Afghanistan,May 4 2020,2895
Afghanistan,May 5 2020,3225
Afghanistan,May 6 2020,3393
Afghanistan,May 7 2020,3564
Afghanistan,May 8 2020,3781
Afghanistan,May 9 2020,4042
Afghanistan,May 10 2020,4403
Afghanistan,May 11 2020,4687
Afghanistan,May 12 2020,4968
Afghanistan,May 13 2020,5227
Afghanistan,May 14 2020,5640
Afghanistan,May 15 2020,6054
Afghanistan,May 16 2020,6403
Afghanistan,May 17 2020,6665
Afghanistan,May 18 2020,7073
Afghanistan,May 19 2020,7654
Afghanistan,May 20 2020,8146
Afghanistan,May 21 2020,8677
Afghanistan,May 22 2020,9219
Afghanistan,May 23 2020,10001
Afghanistan,May 24 2020,10585
Afghanistan,May 25 2020,11176
Afghanistan,May 26 2020,11834
Afghanistan,May 27 2020,12459
Afghanistan,May 28 2020,13039
Afghanistan,May 29 2020,13662
Afghanistan,May 30 2020,14528
Afghanistan,May 31 2020,15208
Afghanistan,June 1 2020,15753
Afghanistan,June 2 2020,16512
Afghanistan,June 3 2020,17270
Afghanistan,June 4 2020,18057
Afghanistan,June 5 2020,18972
Afghanistan,June 6 2020,19554
Afghanistan,June 7 2020,20345
Afghanistan,June 8 2020,20920
Afghanistan,June 9 2020,21462
Afghanistan,June 10 2020,22146
Afghanistan,June 11 2020,22894
Afghanistan,June 12 2020,23550
Afghanistan,June 13 2020,24106
Afghanistan,June 14 2020,24770
Afghanistan,June 15 2020,25531
Afghanistan,June 16 2020,26314
Afghanistan,June 17 2020,26878
Afghanistan,June 18 2020,27536
Afghanistan,June 19 2020,27882
Afghanistan,June 20 2020,28428
Afghanistan,June 21 2020,28837
Afghanistan,June 22 2020,29147
Afghanistan,June 23 2020,29471
Afghanistan,June 24 2020,29705
Afghanistan,June 25 2020,30165
Afghanistan,June 26 2020,30441
Afghanistan,June 27 2020,30606
Afghanistan,June 28 2020,30957
Afghanistan,June 29 2020,31228
Afghanistan,June 30 2020,31507
Afghanistan,July 1 2020,31826
Afghanistan,July 2 2020,32012
Afghanistan,July 3 2020,32314
Afghanistan,July 4 2020,32662
Afghanistan,July 5 2020,32941
Afghanistan,July 6 2020,33180
Afghanistan,July 7 2020,33374
Afghanistan,July 8 2020,33584
Afghanistan,July 9 2020,33898
Afghanistan,July 10 2020,34184
Afghanistan,July 11 2020,34356
Afghanistan,July 12 2020,34441
Afghanistan,July 13 2020,34595
Afghanistan,July 14 2020,34730
