country,date,recovered
Afghanistan,1/22/20,0
Afghanistan,1/23/20,0
Afghanistan,1/24/20,0
Afghanistan,1/25/20,0
Afghanistan,1/26/20,0
Afghanistan,1/27/20,0
Afghanistan,1/28/20,0
Afghanistan,1/29/20,0
Afghanistan,1/30/20,0
Afghanistan,1/31/20,0
Afghanistan,2/1/20,0
Afghanistan,2/2/20,0
Afghanistan,2/3/20,0
Afghanistan,2/4/20,0
Afghanistan,2/5/20,0
Afghanistan,2/6/20,0
Afghanistan,2/7/20,0
Afghanistan,2/8/20,0
Afghanistan,2/9/20,0
Afghanistan,2/10/20,0
Afghanistan,2/11/20,0
Afghanistan,2/12/20,0
Afghanistan,2/13/20,0
Afghanistan,2/14/20,0
Afghanistan,2/15/20,0
Afghanistan,2/16/20,0
Afghanistan,2/17/20,0
Afghanistan,2/18/20,0
Afghanistan,2/19/20,0
Afghanistan,2/20/20,0
Afghanistan,2/21/20,0
Afghanistan,2/22/20,0
Afghanistan,2/23/20,0
Afghanistan,2/24/20,0
Afghanistan,2/25/20,0
Afghanistan,2/26/20,0
Afghanistan,2/27/20,0
Afghanistan,2/28/20,0
Afghanistan,2/29/20,0
Afghanistan,3/1/20,0
Afghanistan,3/2/20,0
Afghanistan,3/3/20,0
Afghanistan,3/4/20,0
Afghanistan,3/5/20,0
Afghanistan,3/6/20,0
Afghanistan,3/7/20,0
Afghanistan,3/8/20,0
Afghanistan,3/9/20,0
Afghanistan,3/10/20,0
Afghanistan,3/11/20,0
Afghanistan,3/12/20,0
Afghanistan,3/13/20,0
Afghanistan,3/14/20,0
Afghanistan,3/15/20,0
Afghanistan,3/16/20,1
Afghanistan,3/17/20,1
Afghanistan,3/18/20,1
Afghanistan,3/19/20,1
Afghanistan,3/20/20,1
Afghanistan,3/21/20,1
Afghanistan,3/22/20,1
Afghanistan,3/23/20,1
Afghanistan,3/24/20,1
Afghanistan,3/25/20,2
Afghanistan,3/26/20,2
Afghanistan,3/27/20,2
Afghanistan,3/28/20,2
Afghanistan,3/29/20,2
Afghanistan,3/30/20,2
Afghanistan,3/31/20,5
Afghanistan,4/1/20,5
Afghanistan,4/2/20,10
Afghanistan,4/3/20,10
Afghanistan,4/4/20,10
Afghanistan,4/5/20,15
Afghanistan,4/6/20,18
Afghanistan,4/7/20,18
Afghanistan,4/8/20,29
Afghanistan,4/9/20,32
Afghanistan,4/10/20,32
Afghanistan,4/11/20,32
Afghanistan,4/12/20,32
Afghanistan,4/13/20,32
Afghanistan,4/14/20,40
Afghanistan,4/15/20,43
Afghanistan,4/16/20,54
Afghanistan,4/17/20,99
Afghanistan,4/18/20,112
Afghanistan,4/19/20,131
Afghanistan,4/20/20,135
Afghanistan,4/21/20,150
Afghanistan,4/22/20,166
Afghanistan,4/23/20,179
Afghanistan,4/24/20,188
Afghanistan,4/25/20,188
Afghanistan,4/26/20,207
Afghanistan,4/27/20,220
Afghanistan,4/28/20,228
Afghanistan,4/29/20,252
Afghanistan,4/30/20,260
Afghanistan,5/1/20,310
Afghanistan,5/2/20,331
Afghanistan,5/3/20,345
Afghanistan,5/4/20,397
Afghanistan,5/5/20,421
Afghanistan,5/6/20,458
Afghanistan,5/7/20,468
Afghanistan,5/8/20,472
Afghanistan,5/9/20,502
Afghanistan,5/10/20,558
Afghanistan,5/11/20,558
Afghanistan,5/12/20,610
Afghanistan,5/13/20,648
Afghanistan,5/14/20,691
Afghanistan,5/15/20,745
Afghanistan,5/16/20,745
Afghanistan,5/17/20,778
Afghanistan,5/18/20,801
Afghanistan,5/19/20,850
Afghanistan,5/20/20,930
Afghanistan,5/21/20,938
Afghanistan,5/22/20,996
Afghanistan,5/23/20,1040
Afghanistan,5/24/20,1075
Afghanistan,5/25/20,1097
Afghanistan,5/26/20,1128
Afghanistan,5/27/20,1138
Afghanistan,5/28/20,1209
Afghanistan,5/29/20,1259
Afghanistan,5/30/20,1303
Afghanistan,5/31/20,1328
Afghanistan,6/1/20,1428
Afghanistan,6/2/20,1450
Afghanistan,6/3/20,1522
Afghanistan,6/4/20,1585
Afghanistan,6/5/20,1762
Afghanistan,6/6/20,1830
Afghanistan,6/7/20,1875
Afghanistan,6/8/20,2171
Afghanistan,6/9/20,2651
Afghanistan,6/10/20,3013
Afghanistan,6/11/20,3326
Afghanistan,6/12/20,3928
Afghanistan,6/13/20,4201
Afghanistan,6/14/20,4725
Afghanistan,6/15/20,5164
Afghanistan,6/16/20,5508
Afghanistan,6/17/20,6158
Afghanistan,6/18/20,7660
Afghanistan,6/19/20,7962
Afghanistan,6/20/20,8292
Afghanistan,6/21/20,8764
Afghanistan,6/22/20,8841
Afghanistan,6/23/20,9260
Afghanistan,6/24/20,9869
Afghanistan,6/25/20,10174
Afghanistan,6/26/20,10306
Afghanistan,6/27/20,10674
Afghanistan,6/28/20,12604
Afghanistan,6/29/20,13934
Afghanistan,6/30/20,14131
Afghanistan,7/1/20,15651
Afghanistan,7/2/20,16041
Afghanistan,7/3/20,17331
Afghanistan,7/4/20,19164
Afghanistan,7/5/20,19366
Afghanistan,7/6/20,20103
Afghanistan,7/7/20,20179
Afghanistan,7/8/20,20700
Afghanistan,7/9/20,20847
Afghanistan,7/10/20,20882
Afghanistan,7/11/20,21135
Afghanistan,7/12/20,21216
Afghanistan,7/13/20,21254
Afghanistan,7/14/20,21454
Afghanistan,7/15/20,22456
Afghanistan,7/16/20,22824
Afghanistan,7/17/20,23151
Afghanistan,7/18/20,23273
Afghanistan,7/19/20,23634
Afghanistan,7/20/20,23741
Afghanistan,7/21/20,23741
Afghanistan,7/22/20,23924
Afghanistan,7/23/20,24550
Afghanistan,7/24/20,24602
Afghanistan,7/25/20,24793
Afghanistan,7/26/20,25180
Afghanistan,7/27/20,25198
Afghanistan,7/28/20,25358
Afghanistan,7/29/20,25389
Afghanistan,7/30/20,25471
Afghanistan,7/31/20,25509
Afghanistan,8/1/20,25509
Afghanistan,8/2/20,25510
Afghanistan,8/3/20,25669
Afghanistan,8/4/20,25669
Afghanistan,8/5/20,25742
Afghanistan,8/6/20,25840
Afghanistan,8/7/20,25903
Afghanistan,8/8/20,25960
Afghanistan,8/9/20,25960
Afghanistan,8/10/20,26228
Afghanistan,8/11/20,26415
Afghanistan,8/12/20,26694
Afghanistan,8/13/20,26714
Afghanistan,8/14/20,26714
Afghanistan,8/15/20,27166
Afghanistan,8/16/20,27166
Afghanistan,8/17/20,27166
Afghanistan,8/18/20,27166
Afghanistan,8/19/20,27166
Afghanistan,8/20/20,27681
Afghanistan,8/21/20,28016
Afghanistan,8/22/20,28016
Afghanistan,8/23/20,28180
Afghanistan,8/24/20,28360
Afghanistan,8/25/20,28440
Afghanistan,8/26/20,29042
Afghanistan,8/27/20,29046
Afghanistan,8/28/20,29059
Afghanistan,8/29/20,29063
Afghanistan,8/30/20,29089
Afghanistan,8/31/20,29089
Afghanistan,9/1/20,29231
Afghanistan,9/2/20,29315
Afghanistan,9/3/20,29390
Afghanistan,9/4/20,29713
Afghanistan,9/5/20,30082
Afghanistan,9/6/20,30537
Afghanistan,9/7/20,30557
Afghanistan,9/8/20,30715
Afghanistan,9/9/20,31048
Afghanistan,9/10/20,31129
Afghanistan,9/11/20,31154
Afghanistan,9/12/20,31234
Afghanistan,9/13/20,31638
Afghanistan,9/14/20,32073
Afghanistan,9/15/20,32098
Afghanistan,9/16/20,32503
Afghanistan,9/17/20,32505
Afghanistan,9/18/20,32576
Afghanistan,9/19/20,32576
Afghanistan,9/20/20,32576
Afghanistan,9/21/20,32576
Afghanistan,9/22/20,32576
Afghanistan,9/23/20,32610
Afghanistan,9/24/20,32619
Afghanistan,9/25/20,32619
Afghanistan,9/26/20,32635
Afghanistan,9/27/20,32642
Afghanistan,9/28/20,32642
Afghanistan,9/29/20,32746
Afghanistan,9/30/20,32789
Afghanistan,10/1/20,32842
Afghanistan,10/2/20,32842
Afghanistan,10/3/20,32842
Afghanistan,10/4/20,32852
Afghanistan,10/5/20,32879
Afghanistan,10/6/20,32977
Afghanistan,10/7/20,33045
Afghanistan,10/8/20,33058
Afghanistan,10/9/20,33058
Afghanistan,10/10/20,33064
Afghanistan,10/11/20,33114
Afghanistan,10/12/20,33118
Afghanistan,10/13/20,33308
Afghanistan,10/14/20,33354
Afghanistan,10/15/20,33447
Afghanistan,10/16/20,33516
Afghanistan,10/17/20,33561
Afghanistan,10/18/20,33614
Afghanistan,10/19/20,33760
Afghanistan,10/20/20,33790
Afghanistan,10/21/20,33824
Afghanistan,10/22/20,33831
Afghanistan,10/23/20,34010
Afghanistan,10/24/20,34023
Afghanistan,10/25/20,34129
Afghanistan,10/26/20,34150
Afghanistan,10/27/20,34217
Afghanistan,10/28/20,34237
Afghanistan,10/29/20,34239
Afghanistan,10/30/20,34258
Afghanistan,10/31/20,34321
Afghanistan,11/1/20,34326
Afghanistan,11/2/20,34342
Afghanistan,11/3/20,34355
Afghanistan,11/4/20,34362
Afghanistan,11/5/20,34440
Afghanistan,11/6/20,34440
Afghanistan,11/7/20,34446
Afghanistan,11/8/20,34458
Afghanistan,11/9/20,34721
Afghanistan,11/10/20,34954
Afghanistan,11/11/20,34967
Afghanistan,11/12/20,35024
Afghanistan,11/13/20,35036
Afghanistan,11/14/20,35067
Afghanistan,11/15/20,35092
Afghanistan,11/16/20,35137
Afghanistan,11/17/20,35160
Afghanistan,11/18/20,35295
Afghanistan,11/19/20,35350
Afghanistan,11/20/20,35370
Afghanistan,11/21/20,35422
Afghanistan,11/22/20,35934
Afghanistan,11/23/20,35976
Afghanistan,11/24/20,36122
Afghanistan,11/25/20,36145
Afghanistan,11/26/20,36232
Afghanistan,11/27/20,36295
Afghanistan,11/28/20,36709
Afghanistan,11/29/20,36716
Afghanistan,11/30/20,36831
Afghanistan,12/1/20,36946
Afghanistan,12/2/20,37218
Afghanistan,12/3/20,37260
Afghanistan,12/4/20,37260
Afghanistan,12/5/20,37393
Afghanistan,12/6/20,37685
Afghanistan,12/7/20,37879
Afghanistan,12/8/20,37920
Afghanistan,12/9/20,38032
Afghanistan,12/10/20,38099
Afghanistan,12/11/20,38141
Afghanistan,12/12/20,38200
Afghanistan,12/13/20,38250
Afghanistan,12/14/20,38252
Afghanistan,12/15/20,38336
Afghanistan,12/16/20,38475
Afghanistan,12/17/20,38505
Afghanistan,12/18/20,38540
Afghanistan,12/19/20,38613
Afghanistan,12/20/20,39006
Afghanistan,12/21/20,39508
Afghanistan,12/22/20,39585
Afghanistan,12/23/20,39692
Afghanistan,12/24/20,40359
Afghanistan,12/25/20,40444
Afghanistan,12/26/20,40784
Afghanistan,12/27/20,41096
Afghanistan,12/28/20,41441
Afghanistan,12/29/20,41543
Afghanistan,12/30/20,41612
Afghanistan,12/31/20,41727
Afghanistan,1/1/21,41727
Afghanistan,1/2/21,41727
Afghanistan,1/3/21,41727
Afghanistan,1/4/21,42530
Afghanistan,1/5/21,42666
Afghanistan,1/6/21,42666
Afghanistan,1/7/21,43291
Afghanistan,1/8/21,43440
Afghanistan,1/9/21,43740
Afghanistan,1/10/21,43948
Afghanistan,1/11/21,44137
Afghanistan,1/12/21,44608
Afghanistan,1/13/21,44850
Afghanistan,1/14/21,45298
Afghanistan,1/15/21,45434
Afghanistan,1/16/21,45465
Afghanistan,1/17/21,45868
Afghanistan,1/18/21,46359
Afghanistan,1/19/21,46554
Afghanistan,1/20/21,46759
Afghanistan,1/21/21,46887
Afghanistan,1/22/21,46912
Afghanistan,1/23/21,46943
Afghanistan,1/24/21,47298
Afghanistan,1/25/21,47365
Afghanistan,1/26/21,47459
Afghanistan,1/27/21,47549
Afghanistan,1/28/21,47583
Afghanistan,1/29/21,47606
Afghanistan,1/30/21,47609
Afghanistan,1/31/21,47679
Afghanistan,2/1/21,47723
Afghanistan,2/2/21,47798
Afghanistan,2/3/21,47982
Afghanistan,2/4/21,47995
Afghanistan,2/5/21,48018
Afghanistan,2/6/21,48027
Afghanistan,2/7/21,48041
Afghanistan,2/8/21,48042
Afghanistan,2/9/21,48109
Afghanistan,2/10/21,48133
Afghanistan,2/11/21,48279
Afghanistan,2/12/21,48390
Afghanistan,2/13/21,48392
Afghanistan,2/14/21,48395
Afghanistan,2/15/21,48433
Afghanistan,2/16/21,48514
Afghanistan,2/17/21,48626
Afghanistan,2/18/21,48798
Afghanistan,2/19/21,48803
Afghanistan,2/20/21,48820
Afghanistan,2/21/21,48834
Afghanistan,2/22/21,48895
Afghanistan,2/23/21,48967
Afghanistan,2/24/21,49086
Afghanistan,2/25/21,49281
Afghanistan,2/26/21,49285
Afghanistan,2/27/21,49288
Afghanistan,2/28/21,49333
Afghanistan,3/1/21,49344
Afghanistan,3/2/21,49347
Afghanistan,3/3/21,49359
Afghanistan,3/4/21,49362
Afghanistan,3/5/21,49362
Afghanistan,3/6/21,49369
Afghanistan,3/7/21,49378
Afghanistan,3/8/21,49402
Afghanistan,3/9/21,49409
Afghanistan,3/10/21,49499
Afghanistan,3/11/21,49499
Afghanistan,3/12/21,49499
Afghanistan,3/13/21,49471
Afghanistan,3/14/21,49477
Afghanistan,3/15/21,49481
Afghanistan,3/16/21,49499
Afghanistan,3/17/21,49536
Afghanistan,3/18/21,49664
Afghanistan,3/19/21,49681
Afghanistan,3/20/21,49681
Afghanistan,3/21/21,49737
Afghanistan,3/22/21,49743
Afghanistan,3/23/21,49752
Afghanistan,3/24/21,49802
Afghanistan,3/25/21,49937
Afghanistan,3/26/21,49994
Afghanistan,3/27/21,49994
Afghanistan,3/28/21,50013
Afghanistan,3/29/21,50666
Afghanistan,3/30/21,51473
Afghanistan,3/31/21,51550
Afghanistan,4/1/21,51788
Afghanistan,4/2/21,51798
Afghanistan,4/3/21,51802
Afghanistan,4/4/21,51885
Afghanistan,4/5/21,51902
Afghanistan,4/6/21,51928
Afghanistan,4/7/21,51940
Afghanistan,4/8/21,51956
Afghanistan,4/9/21,51961
Afghanistan,4/10/21,51962
Afghanistan,4/11/21,51989
Afghanistan,4/12/21,52005
Afghanistan,4/13/21,52013
Afghanistan,4/14/21,52022
Afghanistan,4/15/21,52083
Afghanistan,4/16/21,52105
Afghanistan,4/17/21,52116
Afghanistan,4/18/21,52168
Afghanistan,4/19/21,52244
Afghanistan,4/20/21,52272
Afghanistan,4/21/21,52301
Afghanistan,4/22/21,52348
Afghanistan,4/23/21,52363
Afghanistan,4/24/21,52392
Afghanistan,4/25/21,52489
Afghanistan,4/26/21,52520
Afghanistan,4/27/21,52794
Afghanistan,4/28/21,52974
Afghanistan,4/29/21,53103
Afghanistan,4/30/21,53206
Afghanistan,5/1/21,53272
Afghanistan,5/2/21,53391
Afghanistan,5/3/21,53391
Afghanistan,5/4/21,53694
Afghanistan,5/5/21,53750
Afghanistan,5/6/21,53961
Afghanistan,5/7/21,54019
Albania,1/22/20,0
Albania,1/23/20,0
Albania,1/24/20,0
Albania,1/25/20,0
Albania,1/26/20,0
Albania,1/27/20,0
Albania,1/28/20,0
Albania,1/29/20,0
Albania,1/30/20,0
Albania,1/31/20,0
Albania,2/1/20,0
Albania,2/2/20,0
Albania,2/3/20,0
Albania,2/4/20,0
Albania,2/5/20,0
Albania,2/6/20,0
Albania,2/7/20,0
Albania,2/8/20,0
Albania,2/9/20,0
Albania,2/10/20,0
Albania,2/11/20,0
Albania,2/12/20,0
Albania,2/13/20,0
Albania,2/14/20,0
Albania,2/15/20,0
Albania,2/16/20,0
Albania,2/17/20,0
Albania,2/18/20,0
Albania,2/19/20,0
Albania,2/20/20,0
Albania,2/21/20,0
Albania,2/22/20,0
Albania,2/23/20,0
Albania,2/24/20,0
Albania,2/25/20,0
Albania,2/26/20,0
Albania,2/27/20,0
Albania,2/28/20,0
Albania,2/29/20,0
Albania,3/1/20,0
Albania,3/2/20,0
Albania,3/3/20,0
Albania,3/4/20,0
Albania,3/5/20,0
Albania,3/6/20,0
Albania,3/7/20,0
Albania,3/8/20,0
Albania,3/9/20,0
Albania,3/10/20,0
Albania,3/11/20,0
Albania,3/12/20,0
Albania,3/13/20,0
Albania,3/14/20,0
Albania,3/15/20,0
Albania,3/16/20,0
Albania,3/17/20,0
Albania,3/18/20,0
Albania,3/19/20,0
Albania,3/20/20,0
Albania,3/21/20,2
Albania,3/22/20,2
Albania,3/23/20,2
Albania,3/24/20,10
Albania,3/25/20,17
Albania,3/26/20,17
Albania,3/27/20,31
Albania,3/28/20,31
Albania,3/29/20,33
Albania,3/30/20,44
Albania,3/31/20,52
Albania,4/1/20,67
Albania,4/2/20,76
Albania,4/3/20,89
Albania,4/4/20,99
Albania,4/5/20,104
Albania,4/6/20,116
Albania,4/7/20,131
Albania,4/8/20,154
Albania,4/9/20,165
Albania,4/10/20,182
Albania,4/11/20,197
Albania,4/12/20,217
Albania,4/13/20,232
Albania,4/14/20,248
Albania,4/15/20,251
Albania,4/16/20,277
Albania,4/17/20,283
Albania,4/18/20,302
Albania,4/19/20,314
Albania,4/20/20,327
Albania,4/21/20,345
Albania,4/22/20,356
Albania,4/23/20,385
Albania,4/24/20,394
Albania,4/25/20,403
Albania,4/26/20,410
Albania,4/27/20,422
Albania,4/28/20,431
Albania,4/29/20,455
Albania,4/30/20,470
Albania,5/1/20,488
Albania,5/2/20,519
Albania,5/3/20,531
Albania,5/4/20,543
Albania,5/5/20,570
Albania,5/6/20,595
Albania,5/7/20,605
Albania,5/8/20,620
Albania,5/9/20,627
Albania,5/10/20,650
Albania,5/11/20,654
Albania,5/12/20,682
Albania,5/13/20,688
Albania,5/14/20,694
Albania,5/15/20,705
Albania,5/16/20,714
Albania,5/17/20,715
Albania,5/18/20,727
Albania,5/19/20,742
Albania,5/20/20,758
Albania,5/21/20,771
Albania,5/22/20,777
Albania,5/23/20,783
Albania,5/24/20,789
Albania,5/25/20,795
Albania,5/26/20,803
Albania,5/27/20,812
Albania,5/28/20,823
Albania,5/29/20,851
Albania,5/30/20,857
Albania,5/31/20,872
Albania,6/1/20,877
Albania,6/2/20,891
Albania,6/3/20,898
Albania,6/4/20,898
Albania,6/5/20,910
Albania,6/6/20,925
Albania,6/7/20,938
Albania,6/8/20,945
Albania,6/9/20,960
Albania,6/10/20,980
Albania,6/11/20,1001
Albania,6/12/20,1034
Albania,6/13/20,1039
Albania,6/14/20,1044
Albania,6/15/20,1055
Albania,6/16/20,1064
Albania,6/17/20,1077
Albania,6/18/20,1086
Albania,6/19/20,1114
Albania,6/20/20,1126
Albania,6/21/20,1134
Albania,6/22/20,1159
Albania,6/23/20,1195
Albania,6/24/20,1217
Albania,6/25/20,1250
Albania,6/26/20,1298
Albania,6/27/20,1346
Albania,6/28/20,1384
Albania,6/29/20,1438
Albania,6/30/20,1459
Albania,7/1/20,1516
Albania,7/2/20,1559
Albania,7/3/20,1592
Albania,7/4/20,1637
Albania,7/5/20,1657
Albania,7/6/20,1702
Albania,7/7/20,1744
Albania,7/8/20,1791
Albania,7/9/20,1832
Albania,7/10/20,1875
Albania,7/11/20,1881
Albania,7/12/20,1946
Albania,7/13/20,2014
Albania,7/14/20,2062
Albania,7/15/20,2091
